step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-0.00877,-0.033852,0.025082,2.665582,2.699434,9,15,0.1805,2615,0.6119,0.4293,0.3496,0.1923,,64,1.5
42,pretrain,0,2,-0.087295,-0.443076,0.35578,2.135659,2.578735,10,15,0.2783,2615,0.6398,0.5156,0.4045,0.2324,,64,1.7
63,pretrain,0,3,-0.308585,-0.776227,0.467642,1.676367,2.452593,9,15,0.4207,2615,0.6107,0.4831,0.3571,0.1584,,64,1.8
84,pretrain,0,4,-0.522018,-1.006082,0.484064,1.418369,2.424451,11,15,0.4386,2615,0.6249,0.6651,0.5849,0.5163,,64,2.0
105,pretrain,0,5,-0.609657,-1.133087,0.52343,1.296481,2.429568,10,15,0.5134,2615,0.6149,0.6347,0.5569,0.4816,,64,2.1
126,pretrain,0,6,-0.763716,-1.243907,0.480191,1.183945,2.427852,9,15,0.6242,2615,0.6279,0.6543,0.5687,0.4725,,64,2.3
147,pretrain,0,7,-0.921286,-1.374491,0.453205,0.962382,2.336874,8,15,0.6891,2615,0.6164,0.6655,0.5654,0.4895,,64,2.4
168,pretrain,0,8,-1.035809,-1.478755,0.442945,0.879597,2.358352,10,14,0.6251,2615,0.6302,0.6876,0.6429,0.5699,,64,2.6
189,pretrain,0,9,-1.08924,-1.511653,0.422414,0.864291,2.375945,11,14,0.6828,2615,0.6291,0.6836,0.6001,0.5302,,64,2.7
210,pretrain,0,10,-1.120371,-1.553856,0.433486,0.821448,2.375305,10,14,0.6406,2615,0.6256,0.6994,0.6271,0.5647,,64,2.9
231,round,1,1,-0.700614,-1.226148,0.525535,1.237109,2.463257,11,15,0.5175,2615,0.5105,0.6386,0.5957,0.5144,1,19,3.1
252,round,1,2,-0.833077,-1.219143,0.386066,1.234195,2.453339,9,14,0.5661,2615,0.4906,0.638,0.5789,0.5089,1,19,3.3
273,round,2,1,-0.713946,-1.232669,0.518724,1.197506,2.430175,8,14,0.569,2615,0.5086,0.6331,0.5562,0.4861,1,19,3.6
294,round,2,2,-0.813719,-1.302131,0.488412,1.098731,2.400862,8,14,0.5899,2615,0.4979,0.6254,0.5564,0.49,1,19,3.7
315,round,3,1,-0.785828,-1.248162,0.462334,1.188935,2.437098,9,14,0.5108,2615,0.4746,0.6473,0.5595,0.4831,1,18,3.9
336,round,3,2,-0.855002,-1.262453,0.407451,1.174337,2.436789,8,14,0.5601,2615,0.465,0.6465,0.5573,0.4849,1,18,4.1
357,round,4,1,-0.776044,-1.330168,0.554124,1.080738,2.410905,9,14,0.5802,2615,0.5128,0.6401,0.5764,0.502,1,16,4.3
378,round,4,2,-0.870831,-1.396199,0.525368,1.017787,2.413986,11,14,0.6117,2615,0.4895,0.6364,0.5918,0.5153,1,16,4.5
399,round,5,1,-0.961092,-1.418231,0.457139,1.010169,2.428399,12,14,0.5709,2615,0.5407,0.6394,0.6019,0.5251,1,23,4.8
420,round,5,2,-1.004594,-1.432362,0.427768,0.982097,2.414458,11,14,0.5954,2615,0.5273,0.6417,0.5741,0.493,1,23,4.9
441,round,6,1,-1.02338,-1.435848,0.412468,0.968729,2.404576,9,14,0.6206,2615,0.5182,0.6375,0.5914,0.4965,1,20,5.1
462,round,6,2,-1.046877,-1.465877,0.419,0.948342,2.414219,10,14,0.5797,2615,0.5197,0.6343,0.6005,0.5095,1,20,5.2
483,round,7,1,-0.992057,-1.41831,0.426253,0.980526,2.398836,12,14,0.6183,2615,0.5098,0.6314,0.5716,0.4914,1,19,5.5
504,round,7,2,-1.084053,-1.45027,0.366217,0.935518,2.385788,12,14,0.6376,2615,0.5067,0.6121,0.5568,0.4788,1,19,5.6
525,round,8,1,-1.125007,-1.503612,0.378606,0.869962,2.373575,12,14,0.6715,2615,0.5446,0.631,0.5814,0.4999,1,23,6.4
546,round,8,2,-1.209032,-1.5782,0.369168,0.787807,2.366007,13,14,0.6615,2615,0.5484,0.6371,0.5789,0.4975,1,23,6.5
567,round,9,1,-1.170731,-1.5483,0.377568,0.817074,2.365374,11,14,0.6735,2615,0.5522,0.6458,0.587,0.5041,1,21,7.4
588,round,9,2,-1.179669,-1.573336,0.393666,0.793966,2.367302,12,14,0.6572,2615,0.538,0.6505,0.5976,0.5417,1,21,7.5
609,round,10,1,-1.096606,-1.517373,0.420767,0.854485,2.371858,13,14,0.6491,2615,0.5335,0.6332,0.5824,0.489,1,21,7.9
630,round,10,2,-1.150468,-1.537508,0.38704,0.836999,2.374507,12,14,0.7015,2615,0.5323,0.6262,0.5801,0.4894,1,21,8.1
651,round,11,1,-1.209997,-1.60053,0.390534,0.746359,2.346889,13,14,0.6898,2615,0.5629,0.6254,0.5648,0.4968,1,22,8.6
672,round,11,2,-1.249782,-1.595636,0.345854,0.747072,2.342708,12,14,0.7032,2615,0.561,0.6535,0.593,0.52,1,22,8.8
693,round,12,1,-1.220699,-1.63596,0.415261,0.710124,2.346084,13,14,0.6938,2615,0.5771,0.6477,0.5828,0.5101,1,26,9.2
714,round,12,2,-1.269158,-1.615988,0.34683,0.754063,2.370051,14,14,0.713,2615,0.5621,0.6455,0.5799,0.5119,1,26,9.4
735,round,13,1,-1.239879,-1.630723,0.390844,0.732914,2.363638,12,14,0.7137,2615,0.5621,0.6487,0.5988,0.53,1,25,10.4
756,round,13,2,-1.292614,-1.661275,0.368661,0.704533,2.365808,12,14,0.7083,2615,0.5667,0.6393,0.56,0.5086,1,25,10.5
777,round,14,1,-1.308404,-1.663258,0.354854,0.711247,2.374505,14,14,0.7355,2615,0.5771,0.6441,0.5685,0.516,1,24,11.1
798,round,14,2,-1.391535,-1.707324,0.315789,0.64717,2.354494,13,14,0.7322,2615,0.5641,0.6644,0.5868,0.537,1,24,11.3
819,round,15,1,-1.293179,-1.675148,0.381969,0.692977,2.368125,14,14,0.7416,2615,0.5564,0.6638,0.5851,0.5279,1,23,11.9
840,round,15,2,-1.36373,-1.680924,0.317194,0.656921,2.337846,13,14,0.7572,2615,0.5468,0.6549,0.5702,0.5197,1,23,12.0
861,round,16,1,-1.38941,-1.728602,0.339192,0.616011,2.344613,13,14,0.7588,2615,0.5553,0.6667,0.587,0.5323,1,25,12.7
882,round,16,2,-1.391448,-1.740279,0.348831,0.59293,2.333209,13,14,0.7565,2615,0.5625,0.6569,0.5783,0.5125,1,25,12.8
