step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955642,-1.955883,0.000241,3.911356,3.911493,27,50,0.0207,799,0.3751,0.2144,0.0729,,85,1.1
14,pretrain,0,2,-1.956006,-1.956125,0.000119,3.911877,3.912001,42,50,0.021,799,0.6269,0.385,0.3046,,85,1.2
21,pretrain,0,3,-1.958303,-1.959859,0.001556,3.907811,3.91178,27,50,0.0296,799,0.6432,0.375,0.2542,,85,1.2
28,pretrain,0,4,-2.041587,-2.141263,0.099676,3.703875,3.896758,30,50,0.0779,799,0.6171,0.3638,0.2572,,85,1.3
35,pretrain,0,5,-2.496027,-2.66582,0.169793,3.131269,3.864726,30,50,0.1356,799,0.6279,0.3425,0.2692,,85,1.3
42,pretrain,0,6,-2.756107,-3.067707,0.3116,2.682911,3.833745,29,48,0.1875,799,0.6785,0.4106,0.3505,,85,1.4
49,pretrain,0,7,-2.944739,-3.315265,0.370525,2.397659,3.808616,28,49,0.2511,799,0.7206,0.4469,0.4029,,85,1.4
56,pretrain,0,8,-3.247725,-3.603008,0.355283,2.079701,3.788473,32,49,0.3002,799,0.7316,0.4644,0.4058,,85,1.5
63,pretrain,0,9,-3.513084,-3.86068,0.347596,1.810114,3.78053,41,47,0.3636,799,0.7781,0.5413,0.491,,85,1.6
70,pretrain,0,10,-3.5911,-4.081911,0.490811,1.574743,3.771103,41,50,0.3946,799,0.786,0.5219,0.4979,,85,1.6
77,round,1,1,-3.737055,-4.254113,0.517058,1.458776,3.808593,38,48,0.4375,799,0.7924,0.5513,0.5056,,85,1.7
84,round,1,2,-3.986109,-4.25544,0.269331,1.356118,3.741038,39,49,0.4764,799,0.8178,0.565,0.5338,,85,1.8
91,round,2,1,-4.109271,-4.393396,0.284125,1.253703,3.764733,36,50,0.5085,799,0.8169,0.58,0.5552,,85,1.8
98,round,2,2,-3.991421,-4.539462,0.548042,1.129667,3.779419,37,49,0.5339,799,0.8417,0.6619,0.5914,,85,1.9
105,round,3,1,-4.085924,-4.559735,0.47381,1.089008,3.765829,41,49,0.5619,799,0.8427,0.6587,0.6332,,85,2.0
112,round,3,2,-4.05729,-4.555832,0.498542,1.007373,3.708803,40,48,0.5805,799,0.8514,0.6937,0.6564,,85,2.0
119,round,4,1,-4.082028,-4.573902,0.491873,1.016087,3.726659,43,46,0.5834,799,0.8443,0.6825,0.6296,,85,2.1
126,round,4,2,-3.982901,-4.63825,0.655349,0.997789,3.757359,42,49,0.5683,799,0.8392,0.6837,0.6165,,85,2.2
133,round,5,1,-4.267902,-4.692514,0.424612,0.984342,3.784571,44,50,0.5772,799,0.864,0.7394,0.7012,,85,2.2
140,round,5,2,-4.373346,-4.757493,0.384147,0.961408,3.8126,44,50,0.5911,799,0.8594,0.7438,0.7039,,85,2.3
147,round,6,1,-4.25743,-4.80142,0.54399,0.911787,3.808805,45,50,0.6016,799,0.8846,0.7919,0.7641,,85,2.4
154,round,6,2,-4.335491,-4.82224,0.486749,0.880365,3.801737,46,50,0.6093,799,0.8781,0.7706,0.7381,,85,2.4
161,round,7,1,-4.495776,-4.804093,0.308317,0.880655,3.789832,43,50,0.6164,799,0.8745,0.7606,0.7482,,85,2.5
168,round,7,2,-4.459554,-4.836132,0.376579,0.861317,3.798299,45,50,0.6171,799,0.8778,0.7744,0.7529,,85,2.6
175,round,8,1,-4.431224,-4.862869,0.431645,0.838962,3.80122,47,50,0.6478,799,0.8677,0.7581,0.7397,,85,2.6
182,round,8,2,-4.421265,-4.924823,0.503557,0.765649,3.793648,48,50,0.6411,799,0.8723,0.7544,0.7304,,85,2.7
189,round,9,1,-4.372156,-4.896224,0.524068,0.774634,3.780572,46,50,0.6618,799,0.8896,0.8113,0.7863,,85,2.8
196,round,9,2,-4.56828,-4.932629,0.364349,0.768107,3.80049,47,50,0.6562,799,0.8856,0.7831,0.7637,,85,2.8
203,round,10,1,-4.658844,-4.925838,0.266995,0.763306,3.792763,46,50,0.6731,799,0.8874,0.8006,0.7768,,85,2.9
210,round,10,2,-4.397945,-5.035075,0.637131,0.673287,3.805575,48,50,0.7082,799,0.8933,0.7987,0.7813,,85,3.0
217,round,11,1,-4.661669,-5.004655,0.342986,0.652269,3.771283,47,50,0.7139,799,0.8985,0.825,0.8008,,85,3.0
224,round,11,2,-4.56083,-5.073604,0.512774,0.625036,3.799093,47,50,0.7291,799,0.897,0.8075,0.7832,,85,3.1
231,round,12,1,-4.573207,-5.092232,0.519026,0.592033,3.78951,46,50,0.7392,799,0.9033,0.8481,0.8266,,85,3.2
238,round,12,2,-4.69963,-5.057811,0.358181,0.599201,3.771341,46,50,0.7448,799,0.898,0.8206,0.795,,85,3.2
245,round,13,1,-4.724611,-5.144465,0.419853,0.552219,3.797789,49,50,0.7412,799,0.8951,0.7944,0.7861,,85,3.3
252,round,13,2,-4.615641,-5.114703,0.499062,0.56455,3.786168,48,50,0.7411,799,0.8996,0.8244,0.8038,,85,3.4
259,round,14,1,-4.788507,-5.130092,0.341586,0.544355,3.782965,49,50,0.7458,799,0.8924,0.7756,0.7662,,85,3.4
266,round,14,2,-4.744663,-5.121099,0.376436,0.548579,3.779785,50,50,0.7381,799,0.8955,0.7931,0.7847,,85,3.5
273,round,15,1,-4.543436,-5.136971,0.593535,0.54871,3.790454,49,50,0.7486,799,0.8931,0.79,0.7718,,85,3.6
280,round,15,2,-4.63308,-5.145012,0.511932,0.527839,3.781901,48,50,0.749,799,0.8976,0.8031,0.796,,85,3.7
287,round,16,1,-4.644628,-5.124235,0.479606,0.548451,3.781791,48,50,0.7501,799,0.8999,0.8163,0.7971,,85,3.7
294,round,16,2,-4.548414,-5.105113,0.556699,0.552106,3.771479,48,50,0.7487,799,0.9035,0.8031,0.7925,,85,3.8
301,round,17,1,-4.647041,-5.083767,0.436726,0.577065,3.773888,48,50,0.7551,799,0.8989,0.8113,0.7909,,85,3.9
308,round,17,2,-4.642969,-5.143648,0.500679,0.549213,3.795241,50,50,0.7755,799,0.9015,0.8063,0.7963,,85,3.9
315,round,18,1,-4.486834,-5.155859,0.669025,0.510732,3.777728,50,50,0.7667,799,0.9012,0.8137,0.7937,,85,4.0
322,round,18,2,-4.619686,-5.148047,0.528361,0.526718,3.783177,49,50,0.7736,799,0.9027,0.8256,0.8061,,85,4.1
329,round,19,1,-4.664665,-5.125651,0.460986,0.533073,3.772483,49,50,0.7684,799,0.8934,0.7887,0.7676,,85,4.1
336,round,19,2,-4.535408,-5.138175,0.602767,0.521261,3.772957,49,50,0.7699,799,0.9002,0.8306,0.8071,,85,4.2
343,round,20,1,-4.529069,-5.161409,0.63234,0.519756,3.787443,48,50,0.767,799,0.8975,0.8181,0.8028,,85,4.3
350,round,20,2,-4.704526,-5.143625,0.4391,0.532062,3.783792,50,49,0.759,799,0.8891,0.7794,0.7679,,85,4.3
