step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.353218,-1.353589,0.00037,2.706655,2.706829,11,15,0.0679,2620,0.6256,0.3418,0.3559,0.2326,,64,1.4
42,pretrain,0,2,-1.354139,-1.354337,0.000198,2.707708,2.70803,12,15,0.0761,2620,0.6198,0.4275,0.3542,0.235,,64,1.6
63,pretrain,0,3,-1.400353,-1.510628,0.110275,2.542031,2.701773,15,15,0.187,2620,0.6179,0.4716,0.392,0.3096,,64,1.8
84,pretrain,0,4,-1.553816,-1.883357,0.329541,2.163105,2.697641,15,15,0.1898,2620,0.6214,0.5477,0.4579,0.3538,,64,1.9
105,pretrain,0,5,-1.723002,-1.973902,0.2509,2.071487,2.696926,15,15,0.2528,2620,0.6248,0.6132,0.5573,0.4836,,64,2.1
126,pretrain,0,6,-1.893803,-2.26882,0.375018,1.769141,2.691974,14,15,0.3267,2620,0.616,0.6274,0.5556,0.4828,,64,2.2
147,pretrain,0,7,-2.01109,-2.426432,0.415341,1.609416,2.690565,14,15,0.3608,2620,0.626,0.6605,0.587,0.5028,,64,2.4
168,pretrain,0,8,-2.149492,-2.571122,0.42163,1.458998,2.686747,14,15,0.426,2620,0.6252,0.6784,0.613,0.5301,,64,2.5
189,pretrain,0,9,-2.216051,-2.68057,0.464519,1.331192,2.674508,15,15,0.4047,2620,0.6237,0.674,0.5807,0.4898,,64,2.7
210,pretrain,0,10,-2.315094,-2.740755,0.425661,1.263895,2.669766,15,15,0.4181,2620,0.626,0.6877,0.6171,0.5303,,64,2.8
231,round,1,1,-2.399911,-2.767507,0.367597,1.232287,2.66653,15,15,0.4616,2620,0.6279,0.6816,0.6404,0.5711,,64,3.0
252,round,1,2,-2.428936,-2.826005,0.397069,1.164682,2.660458,15,15,0.4801,2620,0.6233,0.6822,0.5936,0.523,,64,3.1
273,round,2,1,-2.501214,-2.877164,0.37595,1.107371,2.656357,15,15,0.4853,2620,0.6156,0.6909,0.6146,0.5639,,64,3.3
294,round,2,2,-2.557888,-2.920001,0.362113,1.059653,2.653103,15,15,0.528,2620,0.6126,0.696,0.6558,0.5845,,64,3.5
315,round,3,1,-2.54319,-2.972386,0.429196,0.990445,2.641887,15,15,0.5438,2620,0.6347,0.6775,0.6527,0.5749,2,48,6.6
336,round,3,2,-2.61764,-2.981458,0.363818,0.959917,2.627584,15,15,0.575,2620,0.6282,0.7039,0.655,0.6028,2,48,6.8
357,round,4,1,-2.614416,-3.003667,0.389251,0.93799,2.627771,15,15,0.573,2620,0.6191,0.6892,0.6315,0.5849,,64,6.9
378,round,4,2,-2.679344,-3.036313,0.35697,0.900158,2.624314,15,15,0.6056,2620,0.6088,0.678,0.625,0.568,,64,7.1
399,round,5,1,-2.697504,-3.071443,0.373939,0.870068,2.627674,15,15,0.6114,2620,0.621,0.6859,0.6354,0.5883,,64,7.3
420,round,5,2,-2.682072,-3.080199,0.398127,0.847776,2.61865,15,15,0.6134,2620,0.6313,0.6853,0.6452,0.5738,,64,7.5
441,round,6,1,-2.714986,-3.093964,0.378977,0.836534,2.620332,15,15,0.624,2620,0.6336,0.6923,0.6601,0.5889,,64,7.7
462,round,6,2,-2.727235,-3.113605,0.38637,0.810678,2.616189,15,15,0.6166,2620,0.6252,0.6931,0.6687,0.5947,,64,7.9
483,round,7,1,-2.717921,-3.102133,0.384211,0.843788,2.630614,15,15,0.6177,2620,0.6302,0.6953,0.673,0.5964,,64,8.1
504,round,7,2,-2.707485,-3.124195,0.41671,0.796473,2.613778,15,15,0.6074,2620,0.6256,0.7053,0.6805,0.6178,,64,8.2
525,round,8,1,-2.719786,-3.086862,0.367075,0.836393,2.615504,15,15,0.6279,2620,0.6202,0.6965,0.6608,0.5978,,64,8.4
546,round,8,2,-2.758409,-3.14341,0.385001,0.785574,2.619323,15,15,0.6146,2620,0.642,0.6797,0.6323,0.5641,,64,8.6
567,round,9,1,-2.77859,-3.159713,0.381123,0.764422,2.61609,15,15,0.6435,2620,0.6271,0.6909,0.6302,0.5756,,64,8.7
588,round,9,2,-2.812291,-3.178991,0.3667,0.749267,2.618838,15,15,0.6666,2620,0.6336,0.69,0.6242,0.5729,,64,8.9
609,round,10,1,-2.817902,-3.17689,0.358988,0.747832,2.616481,15,15,0.6629,2620,0.6256,0.6894,0.6431,0.5745,,64,9.1
