step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-2.112194,-2.112194,4.556017,1.743584,2.570519,13,15,0.7334,2615,0.6252,0.3715,0.302,0.1777,,64,1.5
42,pretrain,0,2,-3.59959,-3.59959,11.249095,0.31835,2.61196,15,15,0.9536,2615,0.6463,0.4988,0.4309,0.2738,,64,1.7
63,pretrain,0,3,-3.892032,-3.892032,13.514405,0.086297,2.652219,15,15,0.9767,2615,0.6157,0.5181,0.4176,0.2777,,64,1.9
84,pretrain,0,4,-3.881701,-3.881701,13.724899,0.055372,2.624716,15,15,0.9802,2615,0.6256,0.5283,0.4224,0.2926,,64,2.0
105,pretrain,0,5,-3.909819,-3.909819,13.747302,0.043496,2.635544,15,15,0.9827,2615,0.6287,0.5145,0.4328,0.2886,,64,2.2
126,pretrain,0,6,-3.940492,-3.940492,13.799748,0.040134,2.65375,15,15,0.9874,2615,0.6359,0.5333,0.4342,0.305,,64,2.5
147,pretrain,0,7,-3.957232,-3.957232,13.817035,0.036296,2.662352,15,15,0.9859,2615,0.6294,0.5233,0.4149,0.2899,,64,2.7
168,pretrain,0,8,-3.917905,-3.917905,13.93269,0.039282,2.638124,15,15,0.9825,2615,0.6302,0.5171,0.4282,0.2739,,64,2.9
189,pretrain,0,9,-3.890006,-3.890006,13.442529,0.028574,2.612386,15,15,0.9894,2615,0.6314,0.5264,0.4288,0.2894,,64,3.2
210,pretrain,0,10,-3.92546,-3.92546,13.963149,0.028245,2.635803,15,15,0.9887,2615,0.6229,0.5151,0.4182,0.2777,,64,3.4
231,round,1,1,-3.909989,-3.909989,15.071991,0.026051,2.624027,15,15,0.989,2615,0.5675,0.5011,0.3943,0.2585,1,25,4.0
252,round,1,2,-3.949983,-3.949983,15.38901,0.024664,2.649765,15,15,0.9895,2615,0.5514,0.5228,0.4409,0.2928,1,25,4.2
273,round,2,1,-3.956538,-3.956538,15.479658,0.023729,2.653511,15,15,0.9928,2615,0.5266,0.5276,0.4417,0.2913,1,25,5.3
294,round,2,2,-3.946921,-3.946921,15.38047,0.022712,2.646422,15,15,0.9927,2615,0.5128,0.5212,0.4244,0.2801,1,25,5.6
315,round,3,1,-3.942775,-3.942775,15.191476,0.017606,2.640254,15,15,0.993,2615,0.553,0.527,0.4394,0.2953,1,25,7.0
336,round,3,2,-3.968943,-3.968943,15.352901,0.017738,2.657787,15,15,0.9928,2615,0.5484,0.5227,0.4296,0.2902,1,25,7.1
357,round,4,1,-3.969804,-3.969804,15.892935,0.018032,2.658557,15,15,0.992,2615,0.5159,0.5119,0.4382,0.283,1,22,7.8
378,round,4,2,-3.938757,-3.938757,16.045312,0.022767,2.641016,15,15,0.9919,2615,0.5136,0.516,0.4305,0.2932,1,22,8.0
399,round,5,1,-3.965319,-3.965319,15.723834,0.016829,2.654765,15,15,0.9932,2615,0.5484,0.5195,0.4384,0.2877,1,25,8.9
420,round,5,2,-3.964332,-3.964332,15.721483,0.014177,2.652339,15,15,0.9931,2615,0.5254,0.5286,0.4521,0.3089,1,25,9.1
441,round,6,1,-3.957758,-3.957758,15.464204,0.016243,2.649334,15,15,0.9929,2615,0.5553,0.5235,0.4434,0.2958,1,26,10.1
