step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.956491,-1.956491,0.002741,3.907709,3.909467,29,50,0.0286,810,0.4853,0.2863,0.1597,,85,1.2
14,pretrain,0,2,-2.146463,-2.146463,0.433707,3.562104,3.805712,15,50,0.2943,810,0.4281,0.2019,0.1358,,85,1.2
21,pretrain,0,3,-2.873938,-2.873938,1.875989,2.5149,3.592559,26,49,0.3452,810,0.5291,0.3131,0.2238,,85,1.2
28,pretrain,0,4,-3.530079,-3.530079,3.65787,1.93658,3.644439,35,46,0.5528,810,0.5609,0.3344,0.2663,,85,1.3
35,pretrain,0,5,-4.046162,-4.046162,6.021312,1.228282,3.516296,39,44,0.6541,810,0.5847,0.3713,0.2887,,85,1.4
42,pretrain,0,6,-4.426122,-4.426122,7.661037,0.892794,3.545944,38,40,0.7632,810,0.6064,0.3956,0.3126,,85,1.4
49,pretrain,0,7,-4.630988,-4.630988,9.143132,0.59219,3.482118,42,41,0.8181,810,0.625,0.4275,0.3244,,85,1.5
56,pretrain,0,8,-4.822967,-4.822967,10.019224,0.434745,3.505141,38,39,0.8712,810,0.6378,0.4644,0.3376,,85,1.5
63,pretrain,0,9,-4.927399,-4.927399,10.301445,0.297062,3.482974,41,39,0.9018,810,0.6436,0.4587,0.3481,,85,1.6
70,pretrain,0,10,-5.012338,-5.012338,11.012032,0.234791,3.498086,41,39,0.928,810,0.655,0.4819,0.3649,,85,1.7
77,round,1,1,-5.041231,-5.041231,11.532403,0.183332,3.483042,42,40,0.9314,810,0.654,0.4756,0.3606,,85,1.7
84,round,1,2,-5.04929,-5.04929,10.675572,0.16625,3.477027,42,40,0.9459,810,0.6642,0.5081,0.395,,85,1.8
91,round,2,1,-5.199772,-5.199772,11.603224,0.159751,3.573015,42,42,0.9452,810,0.6591,0.4981,0.3614,,85,1.9
98,round,2,2,-5.151447,-5.151447,11.602258,0.144337,3.530523,42,41,0.9486,810,0.6669,0.5006,0.3823,,85,1.9
105,round,3,1,-5.146571,-5.146571,11.552093,0.115553,3.508083,42,41,0.9521,810,0.6619,0.5031,0.3768,,85,2.0
112,round,3,2,-5.132356,-5.132356,12.235041,0.114982,3.498226,42,41,0.9575,810,0.6618,0.5019,0.3735,,85,2.1
119,round,4,1,-5.173616,-5.173616,12.310351,0.102886,3.517668,40,40,0.9526,810,0.6671,0.5038,0.3804,,85,2.1
126,round,4,2,-5.140786,-5.140786,11.661127,0.10785,3.499091,41,39,0.961,810,0.6623,0.5337,0.3982,,85,2.2
133,round,5,1,-5.199104,-5.199104,12.010643,0.093046,3.5281,40,39,0.9651,810,0.6613,0.5094,0.3739,,85,2.3
140,round,5,2,-5.171416,-5.171416,12.634168,0.079597,3.500675,41,39,0.9655,810,0.6603,0.5162,0.3819,,85,2.3
147,round,6,1,-5.184836,-5.184836,12.13371,0.083324,3.512107,41,40,0.9764,810,0.6694,0.5275,0.4021,,85,2.4
154,round,6,2,-5.219946,-5.219946,12.306636,0.063945,3.522594,41,40,0.9724,810,0.68,0.54,0.4182,,85,2.5
161,round,7,1,-5.289877,-5.289877,12.812235,0.069781,3.573105,42,41,0.9739,810,0.6763,0.5363,0.4129,,85,2.5
168,round,7,2,-5.207699,-5.207699,12.191795,0.06953,3.518152,42,41,0.9725,810,0.6696,0.5319,0.4014,,85,2.6
175,round,8,1,-5.283359,-5.283359,13.139906,0.065773,3.566088,42,40,0.9766,810,0.6701,0.5212,0.3936,,85,2.7
182,round,8,2,-5.25755,-5.25755,12.726752,0.061481,3.54602,42,42,0.9758,810,0.6793,0.5281,0.4125,,85,2.7
189,round,9,1,-5.237469,-5.237469,12.003405,0.063319,3.533859,41,38,0.977,810,0.6793,0.535,0.4075,,85,2.8
196,round,9,2,-5.209365,-5.209365,12.632727,0.06108,3.51363,41,40,0.9782,810,0.6775,0.5288,0.3988,,85,2.9
203,round,10,1,-5.245079,-5.245079,13.035685,0.059986,3.53671,41,41,0.9793,810,0.6807,0.5275,0.4113,,85,3.0
210,round,10,2,-5.319513,-5.319513,13.530747,0.050249,3.579842,41,41,0.9792,810,0.6832,0.53,0.411,,85,3.0
217,round,11,1,-5.304832,-5.304832,13.220033,0.053144,3.571984,41,41,0.9843,810,0.687,0.5413,0.4265,,85,3.1
224,round,11,2,-5.309924,-5.309924,13.28228,0.048672,3.572397,41,41,0.9836,810,0.6839,0.5419,0.4256,,85,3.2
231,round,12,1,-5.29139,-5.29139,12.655099,0.050868,3.561505,41,41,0.9821,810,0.6746,0.5262,0.394,,85,3.2
