step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955642,-1.955883,0.000241,3.911356,3.911493,27,50,0.0207,799,0.3751,0.2144,0.0729,,85,1.3
14,pretrain,0,2,-1.956006,-1.956125,0.000119,3.911877,3.912001,42,50,0.021,799,0.6269,0.385,0.3046,,85,1.3
21,pretrain,0,3,-1.958303,-1.959859,0.001556,3.907811,3.91178,27,50,0.0296,799,0.6432,0.375,0.2542,,85,1.4
28,pretrain,0,4,-2.041587,-2.141263,0.099676,3.703875,3.896758,30,50,0.0779,799,0.6171,0.3638,0.2572,,85,1.4
35,pretrain,0,5,-2.496027,-2.66582,0.169793,3.131269,3.864726,30,50,0.1356,799,0.6279,0.3425,0.2692,,85,1.5
42,pretrain,0,6,-2.756107,-3.067707,0.3116,2.682911,3.833745,29,48,0.1875,799,0.6785,0.4106,0.3505,,85,1.5
49,pretrain,0,7,-2.944739,-3.315265,0.370525,2.397659,3.808616,28,49,0.2511,799,0.7206,0.4469,0.4029,,85,1.6
56,pretrain,0,8,-3.247725,-3.603008,0.355283,2.079701,3.788473,32,49,0.3002,799,0.7316,0.4644,0.4058,,85,1.6
63,pretrain,0,9,-3.513084,-3.86068,0.347596,1.810114,3.78053,41,47,0.3636,799,0.7781,0.5413,0.491,,85,1.7
70,pretrain,0,10,-3.5911,-4.081911,0.490811,1.574743,3.771103,41,50,0.3946,799,0.786,0.5219,0.4979,,85,1.8
77,round,1,1,-3.658508,-4.249614,0.591106,1.468153,3.811844,36,48,0.4342,799,0.7945,0.5556,0.5115,4,43,43.5
84,round,1,2,-3.897632,-4.275167,0.377535,1.356014,3.754121,39,48,0.4886,799,0.8288,0.6281,0.573,4,43,43.6
91,round,2,1,-4.096384,-4.404965,0.308581,1.224285,3.752833,40,49,0.5031,799,0.8239,0.6181,0.5695,3,49,63.8
98,round,2,2,-3.829285,-4.545548,0.716263,1.121836,3.778256,42,49,0.5429,799,0.8439,0.6831,0.6342,3,49,63.9
105,round,3,1,-4.086788,-4.59364,0.506853,1.0693,3.775293,40,49,0.5716,799,0.8472,0.6931,0.6448,3,59,88.0
112,round,3,2,-4.132162,-4.641945,0.509783,1.025953,3.778599,44,50,0.5437,799,0.8508,0.71,0.6759,3,59,88.1
119,round,4,1,-4.083682,-4.655629,0.571948,1.044449,3.800052,45,50,0.583,799,0.8597,0.7119,0.6902,3,59,111.1
126,round,4,2,-3.972085,-4.736267,0.764182,0.977783,3.809366,45,50,0.5749,799,0.8495,0.6787,0.6317,3,59,111.2
133,round,5,1,-4.143598,-4.73515,0.591552,0.975036,3.806791,46,50,0.565,799,0.8667,0.7506,0.7262,4,50,153.0
