step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-1.094377,-1.563679,0.469301,1.019974,2.583652,12,13,0.943,14975,0.9221,0.6971,0.3211,0.2867,,85,2.2
234,pretrain,0,2,-1.734485,-2.099758,0.365273,0.148071,2.247829,12,13,0.9641,14975,0.9211,0.7149,0.3402,0.3001,,85,3.4
351,pretrain,0,3,-1.904742,-2.167821,0.263078,0.091413,2.259234,12,13,0.9679,14975,0.9237,0.7126,0.3381,0.3028,,85,4.5
468,pretrain,0,4,-1.973999,-2.186716,0.212717,0.073989,2.260704,12,13,0.9842,14975,0.9243,0.7284,0.3409,0.3086,,85,5.7
585,pretrain,0,5,-2.059039,-2.257969,0.19893,0.080909,2.338878,14,14,0.9788,14975,0.9207,0.7631,0.3843,0.3614,,85,6.8
702,pretrain,0,6,-2.153513,-2.357547,0.204034,0.063705,2.421251,14,14,0.9849,14975,0.9246,0.763,0.3843,0.3622,,85,8.0
819,pretrain,0,7,-2.177461,-2.364567,0.187106,0.057816,2.422383,14,14,0.9902,14975,0.9208,0.7629,0.3842,0.3616,,85,9.1
936,pretrain,0,8,-2.219472,-2.379565,0.160092,0.045018,2.424582,14,14,0.9911,14975,0.9224,0.7644,0.3841,0.3615,,85,10.3
1053,pretrain,0,9,-2.221644,-2.382211,0.160567,0.041083,2.423294,14,14,0.9885,14975,0.9201,0.7633,0.3837,0.3608,,85,11.5
1170,pretrain,0,10,-2.200359,-2.377745,0.177385,0.043721,2.421466,14,14,0.9841,14975,0.9233,0.7632,0.3836,0.3606,,85,12.6
1287,round,1,1,-2.133113,-2.371003,0.237889,0.056152,2.427155,14,14,0.9876,14975,0.9176,0.7657,0.3909,0.362,1,58,33.9
1404,round,1,2,-2.184955,-2.385777,0.200822,0.049471,2.435248,14,14,0.989,14975,0.9179,0.7636,0.3912,0.3624,1,58,35.1
1521,round,2,1,-2.189109,-2.397956,0.208848,0.051967,2.449923,14,14,0.9913,14975,0.9226,0.7677,0.3917,0.3666,1,59,56.4
1638,round,2,2,-2.219042,-2.407602,0.18856,0.04607,2.453672,15,15,0.9901,14975,0.9221,0.774,0.4073,0.3691,1,59,57.5
1755,round,3,1,-2.247439,-2.435442,0.188003,0.047126,2.482569,16,15,0.986,14975,0.9201,0.7765,0.4172,0.3734,1,63,78.8
1872,round,3,2,-2.275699,-2.444732,0.169033,0.046022,2.490754,17,15,0.9924,14975,0.9206,0.777,0.4176,0.3739,1,63,79.9
1989,round,4,1,-2.319131,-2.455361,0.136229,0.035743,2.491104,16,15,0.9924,14975,0.9246,0.777,0.418,0.3741,1,72,101.2
2106,round,4,2,-2.322738,-2.455829,0.133091,0.035856,2.491685,18,15,0.9936,14975,0.9217,0.7763,0.4179,0.3747,1,72,102.4
2223,round,5,1,-2.298975,-2.457809,0.158834,0.037767,2.495576,19,15,0.9909,14975,0.9237,0.7751,0.4169,0.3725,1,73,123.6
2340,round,5,2,-2.309829,-2.458516,0.148687,0.035305,2.493821,19,15,0.9907,14975,0.92,0.7754,0.418,0.3739,1,73,124.8
2457,round,6,1,-2.311639,-2.460951,0.149313,0.03744,2.498391,22,15,0.992,14975,0.9217,0.7762,0.4182,0.3752,1,71,146.1
2574,round,6,2,-2.337894,-2.46839,0.130496,0.038386,2.506776,21,15,0.992,14975,0.9209,0.7755,0.4178,0.3749,1,71,147.2
2691,round,7,1,-2.303889,-2.46524,0.161351,0.038708,2.503948,23,15,0.9914,14975,0.9217,0.7765,0.4183,0.3748,1,78,168.5
2808,round,7,2,-2.333194,-2.469434,0.13624,0.038018,2.507452,23,15,0.9928,14975,0.9219,0.7753,0.4183,0.3754,1,78,169.7
2925,round,8,1,-2.326075,-2.475594,0.149519,0.031585,2.507179,21,15,0.9929,14975,0.9201,0.7753,0.419,0.3749,2,54,211.0
3042,round,8,2,-2.305568,-2.471225,0.165658,0.03589,2.507115,23,15,0.9926,14975,0.9192,0.7744,0.417,0.3735,2,54,212.2
3159,round,9,1,-2.25469,-2.469405,0.214714,0.035298,2.504703,22,15,0.9918,14975,0.9214,0.7752,0.4173,0.3749,2,47,253.6
3276,round,9,2,-2.270198,-2.47334,0.203142,0.035803,2.509143,23,15,0.9929,14975,0.9244,0.7762,0.4184,0.3754,2,47,254.7
3393,round,10,1,-2.272849,-2.463485,0.190636,0.044141,2.507626,24,15,0.9872,14975,0.9233,0.7748,0.4181,0.3753,2,47,296.1
3510,round,10,2,-2.303705,-2.471005,0.1673,0.041114,2.51212,24,15,0.9902,14975,0.9229,0.7743,0.4175,0.374,2,47,297.3
3627,round,11,1,-2.259935,-2.476677,0.216741,0.038227,2.514904,27,15,0.9912,14975,0.923,0.7759,0.4184,0.3754,2,53,338.6
3744,round,11,2,-2.274377,-2.474301,0.199925,0.037557,2.511858,25,16,0.9903,14975,0.9197,0.7741,0.4179,0.3753,2,53,339.8
3861,round,12,1,-2.26321,-2.473144,0.209935,0.04014,2.513284,26,15,0.9929,14975,0.9213,0.7721,0.418,0.3749,2,55,381.2
3978,round,12,2,-2.282813,-2.482489,0.199675,0.036304,2.518793,29,15,0.9894,14975,0.9199,0.7743,0.4183,0.3762,2,55,382.3
4095,round,13,1,-2.313047,-2.477627,0.16458,0.042573,2.5202,28,15,0.9923,14975,0.9211,0.774,0.4177,0.3754,2,63,403.8
4212,round,13,2,-2.329405,-2.480163,0.150758,0.03883,2.518993,28,15,0.9919,14975,0.9201,0.774,0.4175,0.3752,2,63,405.0
4329,round,14,1,-2.33937,-2.484649,0.145279,0.037682,2.522331,28,15,0.9934,14975,0.9212,0.7743,0.4172,0.3753,2,63,426.5
4446,round,14,2,-2.336389,-2.486484,0.150095,0.037014,2.523498,27,15,0.9914,14975,0.9251,0.7741,0.4182,0.3758,2,63,427.6
4563,round,15,1,-2.298563,-2.490401,0.191837,0.03374,2.524141,29,15,0.9931,14975,0.9187,0.7731,0.4175,0.3754,2,58,469.0
4680,round,15,2,-2.350404,-2.49633,0.145926,0.032743,2.529073,30,15,0.9913,14975,0.9231,0.7737,0.4183,0.3759,2,58,470.1
4797,round,16,1,-2.286674,-2.49298,0.206307,0.035846,2.528826,31,15,0.99,14975,0.9208,0.7731,0.4178,0.3757,3,40,511.7
4914,round,16,2,-2.309031,-2.489845,0.180814,0.03892,2.528765,29,15,0.99,14975,0.9224,0.7738,0.4195,0.3756,3,40,512.9
5031,round,17,1,-2.348025,-2.492463,0.144437,0.035465,2.527928,32,15,0.9929,14975,0.9252,0.7728,0.4172,0.3749,2,65,534.3
