step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-0.010024,-0.046619,0.036595,2.643765,2.690384,9,15,0.221,2620,0.624,0.4384,0.3509,0.1887,,64,1.5
42,pretrain,0,2,-0.106118,-0.465243,0.359126,2.065146,2.53039,7,15,0.4284,2620,0.6237,0.4868,0.3912,0.2227,,64,1.6
63,pretrain,0,3,-0.390386,-0.811936,0.42155,1.721132,2.533068,11,15,0.437,2620,0.6099,0.6506,0.5913,0.4751,,64,1.8
84,pretrain,0,4,-0.552746,-1.113,0.560254,1.372243,2.485243,10,15,0.541,2620,0.6145,0.607,0.5259,0.4255,,64,1.9
105,pretrain,0,5,-0.720318,-1.231726,0.511408,1.287375,2.519101,11,15,0.5748,2620,0.6252,0.6957,0.6406,0.5563,,64,2.1
126,pretrain,0,6,-0.881516,-1.428291,0.546776,1.112678,2.540969,10,15,0.6199,2620,0.6183,0.6984,0.6178,0.5577,,64,2.2
147,pretrain,0,7,-0.986646,-1.50649,0.519844,1.051357,2.557846,12,15,0.5584,2620,0.6214,0.7167,0.6653,0.5972,,64,2.4
168,pretrain,0,8,-1.122926,-1.592662,0.469736,0.980524,2.573186,14,15,0.6013,2620,0.6305,0.7269,0.6865,0.6173,,64,2.5
189,pretrain,0,9,-1.15797,-1.634048,0.476078,0.938497,2.572545,14,15,0.5612,2620,0.6252,0.689,0.6336,0.5588,,64,2.7
210,pretrain,0,10,-1.143342,-1.649167,0.505824,0.914126,2.563293,13,15,0.5609,2620,0.6313,0.7207,0.6658,0.5838,,64,2.8
231,round,1,1,-1.007639,-1.54271,0.535071,1.023115,2.565825,13,15,0.5606,2620,0.5565,0.6611,0.5768,0.5168,1,26,3.2
252,round,1,2,-1.097715,-1.540275,0.442559,1.011036,2.551311,10,15,0.5735,2620,0.5389,0.6854,0.6148,0.5428,1,26,3.3
273,round,2,1,-0.928549,-1.442127,0.513578,1.125246,2.567372,10,15,0.5177,2620,0.4882,0.6448,0.5529,0.4742,1,20,3.6
294,round,2,2,-0.991017,-1.497677,0.50666,1.083551,2.581228,12,15,0.5401,2620,0.5008,0.6729,0.6581,0.5677,1,20,3.7
