step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-2.865099,-3.248072,0.382973,2.497286,3.830239,45,50,0.5175,14942,0.9209,0.8108,0.6674,0.6021,,85,2.2
234,pretrain,0,2,-4.174062,-4.741624,0.567562,0.890416,3.754694,47,50,0.6838,14942,0.9216,0.8888,0.7756,0.7542,,85,3.4
351,pretrain,0,3,-4.534157,-4.976754,0.442597,0.65262,3.752916,48,50,0.7182,14942,0.9216,0.8942,0.7698,0.7513,,85,4.6
468,pretrain,0,4,-4.679562,-5.058957,0.379395,0.56299,3.747965,50,50,0.7287,14942,0.919,0.897,0.8002,0.7663,,85,5.8
585,pretrain,0,5,-4.789515,-5.109996,0.320481,0.511783,3.747853,50,50,0.7298,14942,0.92,0.8996,0.7657,0.7631,,85,6.9
702,pretrain,0,6,-4.847868,-5.12572,0.277851,0.500477,3.750798,49,50,0.7515,14942,0.9192,0.9046,0.7805,0.7707,,85,8.1
819,pretrain,0,7,-4.867702,-5.146866,0.279163,0.471688,3.745702,50,50,0.7518,14942,0.9229,0.897,0.754,0.7443,,85,9.3
936,pretrain,0,8,-4.90669,-5.167417,0.260727,0.451166,3.745722,50,50,0.7564,14942,0.9208,0.8966,0.7695,0.7471,,85,10.5
1053,pretrain,0,9,-4.900831,-5.161775,0.260943,0.453386,3.74344,50,50,0.7578,14942,0.9188,0.9034,0.7768,0.7617,,85,11.6
1170,pretrain,0,10,-4.926645,-5.174518,0.247873,0.443285,3.745202,50,50,0.7751,14942,0.9195,0.9075,0.7947,0.7862,,85,12.8
1287,round,1,1,-4.940292,-5.190253,0.249961,0.431792,3.74803,50,50,0.7729,14942,0.9216,0.9073,0.7772,0.7721,,85,14.0
1404,round,1,2,-4.942876,-5.185967,0.243091,0.430839,3.744538,50,50,0.7699,14942,0.9224,0.9025,0.7638,0.7571,,85,15.2
1521,round,2,1,-4.948438,-5.193354,0.244916,0.425287,3.745761,48,50,0.7747,14942,0.9196,0.9081,0.804,0.7887,,85,16.5
1638,round,2,2,-4.954957,-5.194285,0.239329,0.422297,3.744388,50,50,0.7856,14942,0.9195,0.909,0.7864,0.7778,,85,17.7
1755,round,3,1,-4.963105,-5.20567,0.242565,0.410599,3.74418,50,50,0.7723,14942,0.9197,0.9078,0.7874,0.7809,,85,18.9
1872,round,3,2,-4.975041,-5.204455,0.229414,0.408606,3.742041,50,50,0.7789,14942,0.9199,0.9028,0.762,0.7561,,85,20.1
1989,round,4,1,-4.96529,-5.19961,0.23432,0.413617,3.742152,50,50,0.7796,14942,0.9188,0.9079,0.7989,0.7814,,85,21.3
2106,round,4,2,-4.953005,-5.203872,0.250867,0.414233,3.745403,50,50,0.7816,14942,0.9234,0.9077,0.7981,0.7727,,85,22.5
2223,round,5,1,-4.872399,-5.200284,0.327884,0.413643,3.742618,50,50,0.7855,14942,0.9228,0.9105,0.8119,0.7917,,85,23.8
2340,round,5,2,-4.819692,-5.177996,0.358305,0.430269,3.738844,50,50,0.7796,14942,0.9198,0.9028,0.7862,0.7657,,85,24.9
2457,round,6,1,-4.852589,-5.202248,0.349659,0.411444,3.742461,50,50,0.7731,14942,0.9212,0.905,0.8095,0.7745,,85,26.2
2574,round,6,2,-4.937987,-5.208588,0.2706,0.404373,3.741974,50,50,0.7929,14942,0.9238,0.9067,0.8034,0.7838,,85,27.4
2691,round,7,1,-4.948396,-5.215291,0.266895,0.395894,3.74079,50,50,0.793,14942,0.9205,0.9129,0.8085,0.7876,,85,28.6
2808,round,7,2,-4.977168,-5.216138,0.23897,0.396127,3.74151,50,50,0.792,14942,0.9184,0.9071,0.7809,0.7686,,85,29.8
2925,round,8,1,-5.000149,-5.223306,0.223156,0.39117,3.742984,49,50,0.7984,14942,0.922,0.9099,0.798,0.783,,85,31.0
3042,round,8,2,-4.998548,-5.22238,0.223832,0.389056,3.740958,50,50,0.7992,14942,0.9202,0.9098,0.7995,0.7782,,85,32.2
3159,round,9,1,-5.009707,-5.234137,0.22443,0.379727,3.742576,50,50,0.7984,14942,0.922,0.9141,0.8272,0.8006,,85,33.5
3276,round,9,2,-5.000254,-5.222897,0.222643,0.387137,3.740023,50,50,0.7971,14942,0.9185,0.9188,0.8226,0.8082,,85,34.6
3393,round,10,1,-4.997175,-5.224376,0.227201,0.384882,3.739505,50,50,0.8025,14942,0.9204,0.9158,0.8202,0.7982,,85,35.9
3510,round,10,2,-5.008949,-5.229864,0.220915,0.378256,3.738747,50,50,0.801,14942,0.9228,0.9194,0.8302,0.8115,,85,37.0
3627,round,11,1,-5.008233,-5.230722,0.222489,0.380394,3.740744,49,50,0.8001,14942,0.9223,0.9213,0.8266,0.8143,,85,38.3
3744,round,11,2,-5.010546,-5.234847,0.224301,0.376565,3.740941,50,50,0.7997,14942,0.9228,0.9193,0.821,0.806,,85,39.5
3861,round,12,1,-4.998134,-5.22664,0.228506,0.385172,3.741208,50,50,0.7947,14942,0.9183,0.9143,0.8174,0.7988,,85,40.7
3978,round,12,2,-5.003264,-5.227127,0.223863,0.382139,3.739511,50,50,0.7998,14942,0.9234,0.9148,0.8227,0.7958,,85,41.9
4095,round,13,1,-5.010522,-5.226688,0.216165,0.381676,3.738909,50,50,0.8012,14942,0.9243,0.9226,0.848,0.8322,,85,43.1
4212,round,13,2,-5.012258,-5.234549,0.222291,0.376242,3.740527,50,50,0.8034,14942,0.9245,0.9211,0.8339,0.8205,,85,44.3
4329,round,14,1,-5.016014,-5.232287,0.216273,0.380881,3.742113,49,50,0.8074,14942,0.9216,0.9256,0.8349,0.8236,,85,45.6
4446,round,14,2,-4.997172,-5.232186,0.235014,0.379362,3.741032,50,50,0.8003,14942,0.9186,0.9202,0.8313,0.8096,,85,46.7
4563,round,15,1,-5.006135,-5.239805,0.23367,0.370239,3.740029,50,50,0.8074,14942,0.9205,0.9199,0.8124,0.804,,85,48.0
4680,round,15,2,-5.008925,-5.240694,0.23177,0.369821,3.740344,49,50,0.8093,14942,0.9213,0.9188,0.8065,0.802,,85,49.2
4797,round,16,1,-5.000678,-5.23689,0.236213,0.37026,3.7381,50,50,0.8142,14942,0.9219,0.9175,0.8091,0.7916,,85,50.4
4914,round,16,2,-5.011284,-5.25024,0.238955,0.355231,3.73698,50,50,0.8157,14942,0.9227,0.9208,0.8429,0.8181,,85,51.6
5031,round,17,1,-5.008806,-5.249308,0.240502,0.358865,3.738782,48,50,0.8189,14942,0.9206,0.9191,0.84,0.8102,,85,52.8
5148,round,17,2,-5.020936,-5.252003,0.231067,0.356415,3.738945,50,50,0.8068,14942,0.9204,0.9238,0.8508,0.8328,,85,54.0
5265,round,18,1,-5.019232,-5.250119,0.230888,0.358799,3.739279,50,50,0.817,14942,0.9192,0.9206,0.8422,0.8141,,85,55.3
5382,round,18,2,-5.028871,-5.265036,0.236165,0.346302,3.740892,50,50,0.8181,14942,0.9222,0.9232,0.833,0.8183,,85,56.4
5499,round,19,1,-5.027238,-5.263405,0.236167,0.344752,3.738771,49,50,0.824,14942,0.9234,0.9229,0.8283,0.8171,,85,57.7
5616,round,19,2,-5.005023,-5.257171,0.252148,0.351623,3.739196,49,50,0.8186,14942,0.9175,0.918,0.818,0.795,,85,58.8
5733,round,20,1,-5.013322,-5.251476,0.238154,0.35514,3.737744,50,50,0.8157,14942,0.9188,0.9168,0.8089,0.7904,,85,60.1
5850,round,20,2,-5.040434,-5.265837,0.225403,0.340974,3.737874,50,50,0.8203,14942,0.9226,0.9226,0.8446,0.8284,,85,61.3
