step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.353218,-1.353589,0.00037,2.706655,2.706829,11,15,0.0679,2620,0.6256,0.3418,0.3559,0.2326,,64,1.4
42,pretrain,0,2,-1.354139,-1.354337,0.000198,2.707708,2.70803,12,15,0.0761,2620,0.6198,0.4275,0.3542,0.235,,64,1.6
63,pretrain,0,3,-1.400353,-1.510628,0.110275,2.542031,2.701773,15,15,0.187,2620,0.6179,0.4716,0.392,0.3096,,64,1.7
84,pretrain,0,4,-1.553816,-1.883357,0.329541,2.163105,2.697641,15,15,0.1898,2620,0.6214,0.5477,0.4579,0.3538,,64,1.9
105,pretrain,0,5,-1.723002,-1.973902,0.2509,2.071487,2.696926,15,15,0.2528,2620,0.6248,0.6132,0.5573,0.4836,,64,2.1
126,pretrain,0,6,-1.893803,-2.26882,0.375018,1.769141,2.691974,14,15,0.3267,2620,0.616,0.6274,0.5556,0.4828,,64,2.3
147,pretrain,0,7,-2.01109,-2.426432,0.415341,1.609416,2.690565,14,15,0.3608,2620,0.626,0.6605,0.587,0.5028,,64,2.5
168,pretrain,0,8,-2.149492,-2.571122,0.42163,1.458998,2.686747,14,15,0.426,2620,0.6252,0.6784,0.613,0.5301,,64,2.7
189,pretrain,0,9,-2.216051,-2.68057,0.464519,1.331192,2.674508,15,15,0.4047,2620,0.6237,0.674,0.5807,0.4898,,64,2.9
210,pretrain,0,10,-2.315094,-2.740755,0.425661,1.263895,2.669766,15,15,0.4181,2620,0.626,0.6877,0.6171,0.5303,,64,3.1
231,round,1,1,-2.399911,-2.767507,0.367597,1.232287,2.66653,15,15,0.4616,2620,0.6279,0.6816,0.6404,0.5711,,64,3.3
252,round,1,2,-2.428936,-2.826005,0.397069,1.164682,2.660458,15,15,0.4801,2620,0.6233,0.6822,0.5936,0.523,,64,3.5
273,round,2,1,-2.501214,-2.877164,0.37595,1.107371,2.656357,15,15,0.4853,2620,0.6156,0.6909,0.6146,0.5639,,64,3.7
294,round,2,2,-2.557888,-2.920001,0.362113,1.059653,2.653103,15,15,0.528,2620,0.6126,0.696,0.6558,0.5845,,64,3.9
315,round,3,1,-2.559918,-2.973906,0.413988,0.988656,2.641708,15,15,0.5464,2620,0.634,0.6744,0.6622,0.5753,,64,4.1
336,round,3,2,-2.636537,-2.990396,0.353859,0.945194,2.623727,15,15,0.5754,2620,0.6321,0.6848,0.6495,0.5908,,64,4.3
357,round,4,1,-2.609916,-3.004973,0.395057,0.93635,2.627549,15,15,0.5716,2620,0.6137,0.6825,0.6525,0.5839,,64,4.6
378,round,4,2,-2.67902,-3.039118,0.360099,0.901673,2.627194,15,15,0.6074,2620,0.6134,0.7031,0.6595,0.6014,,64,4.8
399,round,5,1,-2.676702,-3.061812,0.38511,0.881189,2.628667,15,15,0.6097,2620,0.6202,0.7002,0.6346,0.5824,,64,5.0
420,round,5,2,-2.692351,-3.082984,0.390633,0.848059,2.620695,15,15,0.6133,2620,0.6233,0.6772,0.6533,0.5789,,64,5.2
441,round,6,1,-2.702711,-3.092555,0.389844,0.839516,2.621381,15,15,0.6326,2620,0.6229,0.6989,0.6381,0.5848,,64,5.4
462,round,6,2,-2.709009,-3.108432,0.399423,0.805845,2.609518,15,15,0.6145,2620,0.6191,0.685,0.6477,0.5833,,64,5.6
483,round,7,1,-2.717828,-3.078993,0.361166,0.846322,2.616877,15,15,0.6189,2620,0.6336,0.6924,0.6612,0.5852,,64,5.8
504,round,7,2,-2.709135,-3.121037,0.411902,0.800671,2.614472,15,15,0.61,2620,0.6279,0.6921,0.668,0.6091,,64,6.0
525,round,8,1,-2.74051,-3.075526,0.335015,0.846632,2.614772,15,15,0.6402,2620,0.6267,0.7095,0.6915,0.6152,,64,6.2
546,round,8,2,-2.760667,-3.138049,0.377382,0.795688,2.622492,15,15,0.6239,2620,0.6313,0.6925,0.6699,0.6015,,64,6.4
567,round,9,1,-2.772226,-3.155241,0.383015,0.766813,2.614703,15,15,0.6389,2620,0.6302,0.688,0.6452,0.5803,,64,6.6
588,round,9,2,-2.820814,-3.178032,0.357219,0.746875,2.616605,15,15,0.6602,2620,0.6347,0.6851,0.6286,0.567,,64,6.8
609,round,10,1,-2.83048,-3.18319,0.35271,0.743209,2.617599,15,15,0.6587,2620,0.6256,0.682,0.6466,0.5605,,64,7.0
