step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.352844,-1.35347,0.000626,2.706249,2.706479,15,15,0.0677,2561,0.6103,0.3119,0.3228,0.1782,,64,1.5
42,pretrain,0,2,-1.354025,-1.354103,7.8e-05,2.707964,2.708044,15,15,0.0688,2561,0.6209,0.3989,0.3386,0.1742,,64,1.6
63,pretrain,0,3,-1.355529,-1.364085,0.008556,2.696956,2.707361,15,15,0.1124,2561,0.613,0.4962,0.423,0.2851,,64,1.8
84,pretrain,0,4,-1.43007,-1.673152,0.243082,2.369657,2.695206,10,15,0.2068,2561,0.6056,0.4847,0.4249,0.3016,,64,1.9
105,pretrain,0,5,-1.632653,-2.0029,0.370248,2.030237,2.688758,14,15,0.2288,2561,0.6087,0.5478,0.4816,0.3906,,64,2.2
126,pretrain,0,6,-1.744122,-2.118557,0.374435,1.918684,2.691494,15,15,0.2664,2561,0.6193,0.5928,0.5332,0.4339,,64,2.4
147,pretrain,0,7,-1.855899,-2.257651,0.401752,1.782325,2.693317,14,15,0.2871,2561,0.6072,0.6205,0.5701,0.4859,,64,2.6
168,pretrain,0,8,-1.944547,-2.376748,0.432201,1.656459,2.688804,13,15,0.3117,2561,0.6201,0.6206,0.5342,0.4449,,64,2.8
189,pretrain,0,9,-2.051143,-2.468782,0.417639,1.57013,2.692608,14,15,0.4062,2561,0.6275,0.6558,0.5656,0.5045,,64,3.0
210,pretrain,0,10,-2.20158,-2.704576,0.502997,1.312667,2.678162,15,15,0.4571,2561,0.6142,0.6631,0.6005,0.4843,,64,3.2
231,round,1,1,-2.321871,-2.74859,0.42672,1.250657,2.666165,15,15,0.4399,2561,0.6107,0.6529,0.5876,0.4578,,64,3.5
252,round,1,2,-2.413113,-2.831974,0.418861,1.167822,2.666531,15,15,0.4813,2561,0.6283,0.6669,0.629,0.5228,,64,3.7
273,round,2,1,-2.446632,-2.866583,0.419951,1.129976,2.664373,15,15,0.4842,2561,0.6212,0.6836,0.6198,0.5229,2,52,8.2
294,round,2,2,-2.502711,-2.913373,0.410662,1.079139,2.661674,15,15,0.4817,2561,0.6189,0.6747,0.6194,0.5205,2,52,8.4
315,round,3,1,-2.512838,-2.895018,0.382179,1.107297,2.668209,15,15,0.4848,2561,0.6127,0.6612,0.5735,0.4684,,64,8.6
336,round,3,2,-2.557457,-2.923736,0.366279,1.070006,2.662495,15,15,0.4938,2561,0.6107,0.6869,0.6281,0.5433,,64,8.8
357,round,4,1,-2.595599,-2.971311,0.375712,1.024055,2.663577,15,15,0.5015,2561,0.6138,0.6927,0.6356,0.5628,,64,8.9
378,round,4,2,-2.613491,-2.966759,0.353268,1.033159,2.666612,15,15,0.5027,2561,0.6228,0.6771,0.6175,0.5338,,64,9.0
399,round,5,1,-2.625173,-2.982015,0.356842,1.019585,2.667733,15,15,0.5406,2561,0.6123,0.6917,0.6244,0.5686,,64,9.2
420,round,5,2,-2.613081,-3.028008,0.414926,0.970829,2.665891,15,15,0.5504,2561,0.6173,0.6885,0.609,0.5301,,64,9.3
441,round,6,1,-2.659322,-3.061416,0.402094,0.921517,2.655289,15,15,0.5652,2561,0.6279,0.672,0.5467,0.4843,,64,9.5
462,round,6,2,-2.694668,-3.079089,0.384421,0.908628,2.658478,15,15,0.5806,2561,0.6209,0.6837,0.6217,0.5599,,64,9.7
483,round,7,1,-2.706452,-3.121572,0.41512,0.86105,2.655081,15,15,0.5838,2561,0.6291,0.6813,0.6123,0.5304,,64,9.9
504,round,7,2,-2.723019,-3.131994,0.408975,0.862084,2.662718,15,15,0.5979,2561,0.6384,0.6676,0.572,0.4922,,64,10.1
525,round,8,1,-2.764288,-3.144236,0.379948,0.831921,2.650771,15,15,0.5932,2561,0.6166,0.6584,0.5656,0.4795,,64,10.3
546,round,8,2,-2.762358,-3.143673,0.381315,0.822027,2.6438,15,15,0.5879,2561,0.6123,0.6706,0.603,0.5263,,64,10.5
567,round,9,1,-2.799509,-3.161459,0.36195,0.805469,2.644619,15,15,0.6079,2561,0.6314,0.6595,0.581,0.4828,2,53,14.2
588,round,9,2,-2.804323,-3.190242,0.385919,0.764063,2.636203,15,15,0.6127,2561,0.6162,0.6794,0.5523,0.487,2,53,14.4
609,round,10,1,-2.847519,-3.204229,0.35671,0.7533,2.638353,15,15,0.6125,2561,0.6095,0.6714,0.6204,0.529,,64,14.6
630,round,10,2,-2.811281,-3.186646,0.375365,0.768834,2.636987,15,15,0.6334,2561,0.6283,0.6775,0.5685,0.4885,,64,14.8
651,round,11,1,-2.804842,-3.203578,0.398736,0.735696,2.626183,15,15,0.631,2561,0.6154,0.6747,0.5564,0.4823,,64,15.0
672,round,11,2,-2.873457,-3.220442,0.346985,0.724691,2.630089,15,15,0.6332,2561,0.6255,0.6701,0.5616,0.4871,,64,15.1
693,round,12,1,-2.868019,-3.228144,0.360125,0.715666,2.629207,15,15,0.6307,2561,0.6209,0.6672,0.5625,0.4764,,64,15.3
714,round,12,2,-2.8869,-3.216333,0.329433,0.728858,2.630127,15,15,0.6453,2561,0.6224,0.6783,0.5866,0.5058,,64,15.5
735,round,13,1,-2.913379,-3.252723,0.339344,0.673683,2.617604,15,15,0.6451,2561,0.6373,0.6737,0.5901,0.4847,,64,15.6
756,round,13,2,-2.897956,-3.263746,0.36579,0.665583,2.619552,15,15,0.6551,2561,0.6201,0.696,0.592,0.5096,,64,15.8
777,round,14,1,-2.940719,-3.266722,0.326002,0.666178,2.621933,15,15,0.6588,2561,0.6248,0.6705,0.561,0.4754,,64,15.9
798,round,14,2,-2.919953,-3.278232,0.358278,0.64507,2.615535,15,15,0.6659,2561,0.6185,0.6706,0.5589,0.4887,,64,16.1
819,round,15,1,-2.935018,-3.274869,0.339851,0.654919,2.619859,15,15,0.6823,2561,0.6095,0.6651,0.54,0.4672,,64,16.2
840,round,15,2,-2.907402,-3.280023,0.372622,0.636664,2.611125,15,15,0.6717,2561,0.6236,0.6768,0.5645,0.475,,64,16.4
861,round,16,1,-2.952169,-3.281274,0.329105,0.636824,2.612066,15,15,0.6757,2561,0.6302,0.6675,0.5604,0.4764,,64,16.6
