step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.352938,-1.353532,0.000594,2.706366,2.706599,15,15,0.0677,2579,0.6258,0.339,0.3746,0.2272,,64,1.5
42,pretrain,0,2,-1.354055,-1.354238,0.000183,2.707823,2.708041,12,15,0.0716,2579,0.6181,0.4522,0.3714,0.2553,,64,1.6
63,pretrain,0,3,-1.410144,-1.489106,0.078963,2.556809,2.697277,8,15,0.1804,2579,0.6181,0.4567,0.3897,0.2589,,64,1.8
84,pretrain,0,4,-1.57915,-1.856176,0.277026,2.165998,2.681449,14,15,0.1875,2579,0.6119,0.5482,0.4504,0.3245,,64,2.0
105,pretrain,0,5,-1.705912,-2.029797,0.323885,2.004014,2.689207,15,15,0.2228,2579,0.6219,0.6102,0.5612,0.472,,64,2.1
126,pretrain,0,6,-1.81413,-2.118444,0.304314,1.915478,2.689281,15,15,0.2412,2579,0.6157,0.5993,0.5492,0.5021,,64,2.3
147,pretrain,0,7,-1.898192,-2.218033,0.319842,1.810179,2.685475,15,15,0.3162,2579,0.6173,0.6012,0.5149,0.4394,,64,2.5
168,pretrain,0,8,-2.029561,-2.452445,0.422883,1.552991,2.670291,13,15,0.3934,2579,0.627,0.6728,0.5726,0.4929,,64,2.7
189,pretrain,0,9,-2.162436,-2.606413,0.443977,1.396025,2.668292,15,15,0.4421,2579,0.6095,0.6696,0.6067,0.5242,,64,2.9
210,pretrain,0,10,-2.270269,-2.698758,0.428489,1.274077,2.648557,14,15,0.4942,2579,0.62,0.6993,0.6433,0.5758,,64,3.1
231,round,1,1,-2.313866,-2.766849,0.452983,1.220415,2.658176,15,15,0.4828,2579,0.6018,0.6848,0.625,0.5478,1,46,5.9
252,round,1,2,-2.363275,-2.854636,0.49136,1.127995,2.655087,15,15,0.4508,2579,0.6084,0.6561,0.6412,0.5312,1,46,6.2
273,round,2,1,-2.394447,-2.814267,0.41982,1.18221,2.664318,15,15,0.5036,2579,0.6103,0.6729,0.609,0.5292,1,44,31.4
294,round,2,2,-2.452585,-2.904549,0.451964,1.066962,2.647674,15,15,0.5291,2579,0.608,0.6775,0.5968,0.5608,1,44,31.6
315,round,3,1,-2.52211,-2.977955,0.455845,0.983047,2.640668,15,15,0.5535,2579,0.6161,0.6882,0.641,0.5637,1,47,45.9
336,round,3,2,-2.591353,-3.01765,0.426297,0.931956,2.633071,15,15,0.5912,2579,0.6188,0.7002,0.6468,0.6026,1,47,46.1
357,round,4,1,-2.637924,-3.072753,0.434829,0.875702,2.632304,15,15,0.5961,2579,0.6293,0.6796,0.6269,0.5738,1,48,101.3
378,round,4,2,-2.638725,-3.055757,0.417032,0.898522,2.636186,15,15,0.6145,2579,0.6154,0.6933,0.6518,0.5965,1,48,101.6
399,round,5,1,-2.659089,-3.088386,0.429297,0.86773,2.637411,15,15,0.5871,2579,0.6165,0.6819,0.6527,0.5655,1,48,131.6
420,round,5,2,-2.643454,-3.084663,0.441209,0.864858,2.633014,15,15,0.6183,2579,0.6219,0.7046,0.6685,0.597,1,48,131.8
441,round,6,1,-2.684873,-3.137228,0.452356,0.815101,2.634886,15,15,0.6114,2579,0.6134,0.6755,0.6261,0.5458,1,49,157.5
462,round,6,2,-2.725668,-3.098178,0.37251,0.848684,2.631241,15,15,0.6236,2579,0.6386,0.7014,0.6431,0.5735,1,49,157.7
483,round,7,1,-2.734111,-3.16309,0.428979,0.774192,2.624855,15,15,0.6306,2579,0.634,0.6864,0.6283,0.5704,1,48,166.6
504,round,7,2,-2.7706,-3.173523,0.402923,0.778221,2.634496,15,15,0.6378,2579,0.6309,0.6853,0.6271,0.5703,1,48,166.8
525,round,8,1,-2.734482,-3.148011,0.413529,0.793209,2.62748,15,15,0.639,2579,0.6123,0.6952,0.6311,0.5562,1,49,196.6
546,round,8,2,-2.78103,-3.163954,0.382924,0.772566,2.624347,15,15,0.648,2579,0.6285,0.6875,0.6225,0.5587,1,49,196.8
567,round,9,1,-2.778568,-3.160219,0.38165,0.785045,2.630176,15,15,0.6404,2579,0.6115,0.6851,0.6099,0.5434,1,48,213.8
