step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-1.238549,-1.735302,0.496752,1.141571,2.876873,17,16,0.9509,14858,0.918,0.7724,0.4242,0.4041,,85,1.8
234,pretrain,0,2,-2.018384,-2.447561,0.429177,0.148158,2.595718,16,17,0.9484,14858,0.92,0.777,0.4265,0.4131,,85,2.3
351,pretrain,0,3,-2.19312,-2.493097,0.299977,0.101051,2.594147,16,17,0.969,14858,0.92,0.7908,0.4287,0.4204,,85,2.9
468,pretrain,0,4,-2.314575,-2.523659,0.209085,0.069816,2.593475,16,17,0.9793,14858,0.9199,0.7915,0.4304,0.4205,,85,3.4
585,pretrain,0,5,-2.353322,-2.532338,0.179016,0.058922,2.59126,17,17,0.9791,14858,0.9231,0.7949,0.43,0.4216,,85,3.9
702,pretrain,0,6,-2.372465,-2.536079,0.163614,0.055753,2.591832,17,17,0.9818,14858,0.9207,0.7951,0.4305,0.423,,85,4.5
819,pretrain,0,7,-2.364209,-2.536144,0.171936,0.056316,2.59246,16,17,0.9856,14858,0.9155,0.796,0.4309,0.4235,,85,5.2
936,pretrain,0,8,-2.385254,-2.538818,0.153564,0.054325,2.593143,17,17,0.9863,14858,0.9178,0.7957,0.431,0.424,,85,6.3
1053,pretrain,0,9,-2.413409,-2.544051,0.130642,0.047578,2.591628,16,17,0.987,14858,0.9211,0.7954,0.4308,0.4239,,85,7.5
1170,pretrain,0,10,-2.415485,-2.546249,0.130764,0.047788,2.594038,16,17,0.9866,14858,0.9204,0.7956,0.431,0.4244,,85,8.7
1287,round,1,1,-2.399336,-2.544955,0.145619,0.049853,2.594807,17,17,0.984,14858,0.9208,0.7914,0.4303,0.4241,1,68,29.9
1404,round,1,2,-2.406323,-2.546959,0.140636,0.04992,2.596879,16,17,0.9893,14858,0.9182,0.7951,0.4306,0.4235,1,68,31.1
1521,round,2,1,-2.378753,-2.544144,0.165392,0.051151,2.595296,17,17,0.9841,14858,0.9227,0.7939,0.4298,0.4239,1,67,52.4
1638,round,2,2,-2.386772,-2.549604,0.162832,0.047678,2.597282,17,17,0.9815,14858,0.9192,0.7934,0.4305,0.4244,1,67,53.6
1755,round,3,1,-2.398544,-2.546811,0.148267,0.048416,2.595227,17,17,0.988,14858,0.9204,0.7959,0.4313,0.4251,1,73,74.9
1872,round,3,2,-2.388963,-2.542964,0.154001,0.051784,2.594748,17,17,0.9866,14858,0.9178,0.794,0.4303,0.4247,1,73,76.0
1989,round,4,1,-2.365483,-2.54095,0.175466,0.054922,2.595872,17,17,0.9848,14858,0.9208,0.792,0.4309,0.4239,1,73,97.4
2106,round,4,2,-2.375847,-2.543556,0.16771,0.054322,2.597879,17,16,0.9877,14858,0.9232,0.795,0.4309,0.4247,1,73,98.5
2223,round,5,1,-2.404307,-2.545861,0.141554,0.048692,2.594553,17,17,0.985,14858,0.9213,0.7942,0.4247,0.4226,1,71,119.8
2340,round,5,2,-2.419243,-2.550567,0.131324,0.045149,2.595716,18,17,0.9832,14858,0.9213,0.7934,0.4302,0.4241,1,71,121.0
2457,round,6,1,-2.42522,-2.551527,0.126306,0.038597,2.590124,17,16,0.9925,14858,0.9174,0.7955,0.4315,0.4256,1,70,142.2
2574,round,6,2,-2.428819,-2.551553,0.122734,0.033167,2.58472,16,16,0.9936,14858,0.915,0.7954,0.4312,0.4256,1,70,143.4
2691,round,7,1,-2.416235,-2.553902,0.137667,0.03365,2.587552,17,16,0.9925,14858,0.9219,0.7953,0.4314,0.4253,1,68,164.7
2808,round,7,2,-2.405779,-2.54883,0.143051,0.036565,2.585395,17,16,0.9952,14858,0.915,0.7951,0.4312,0.4255,1,68,165.9
2925,round,8,1,-2.409019,-2.554825,0.145806,0.032621,2.587446,17,16,0.993,14858,0.9174,0.7953,0.4314,0.4257,1,70,187.2
3042,round,8,2,-2.390317,-2.554661,0.164345,0.034355,2.589016,18,16,0.9875,14858,0.9189,0.7946,0.4311,0.4251,1,70,188.3
3159,round,9,1,-2.425342,-2.551098,0.125756,0.035534,2.586632,19,16,0.9921,14858,0.9184,0.7942,0.4312,0.4255,1,70,209.6
3276,round,9,2,-2.390523,-2.550911,0.160387,0.037619,2.58853,20,16,0.9932,14858,0.9174,0.7931,0.4314,0.4245,1,70,210.8
3393,round,10,1,-2.295791,-2.553114,0.257323,0.040546,2.59366,22,16,0.9866,14858,0.9215,0.7919,0.4315,0.4244,2,43,232.6
3510,round,10,2,-2.33777,-2.559001,0.22123,0.040334,2.599335,20,16,0.9897,14858,0.9207,0.7928,0.4298,0.4227,2,43,233.8
3627,round,11,1,-2.34603,-2.545709,0.199679,0.043142,2.588852,19,16,0.9899,14858,0.9202,0.7937,0.4309,0.4249,1,76,254.5
3744,round,11,2,-2.39633,-2.546034,0.149703,0.040285,2.586318,22,16,0.9896,14858,0.9184,0.7939,0.4317,0.4268,1,76,255.1
3861,round,12,1,-2.420304,-2.556733,0.136429,0.032521,2.589254,21,16,0.9944,14858,0.9215,0.7947,0.4307,0.424,1,80,275.7
3978,round,12,2,-2.410384,-2.553816,0.143432,0.033509,2.587326,22,16,0.9942,14858,0.9198,0.7924,0.4307,0.4246,1,80,276.3
