step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-2.784508,-3.135556,0.351049,2.617202,3.835172,47,48,0.4779,14858,0.918,0.8258,0.6726,0.6378,,85,1.9
234,pretrain,0,2,-4.160173,-4.752542,0.592369,0.913004,3.777031,50,50,0.6582,14858,0.92,0.8869,0.7601,0.7376,,85,2.6
351,pretrain,0,3,-4.512411,-5.004557,0.492146,0.643102,3.765106,49,50,0.71,14858,0.92,0.8975,0.7785,0.7681,,85,3.3
468,pretrain,0,4,-4.695522,-5.084736,0.389214,0.563988,3.765816,50,50,0.7174,14858,0.9199,0.897,0.761,0.7528,,85,3.9
585,pretrain,0,5,-4.79428,-5.129402,0.335123,0.516744,3.764097,50,50,0.7378,14858,0.9231,0.907,0.805,0.7895,,85,4.6
702,pretrain,0,6,-4.838611,-5.150998,0.312387,0.492752,3.7625,50,50,0.7499,14858,0.9207,0.9167,0.8307,0.8151,,85,5.3
819,pretrain,0,7,-4.864589,-5.166938,0.302348,0.472148,3.759391,50,50,0.7517,14858,0.9155,0.9072,0.7815,0.7799,,85,6.0
936,pretrain,0,8,-4.91205,-5.188213,0.276163,0.454464,3.761784,50,50,0.7728,14858,0.9178,0.9147,0.7952,0.7881,,85,6.7
1053,pretrain,0,9,-4.936691,-5.20436,0.267669,0.432566,3.75795,50,50,0.7805,14858,0.9211,0.9199,0.838,0.8276,,85,7.3
1170,pretrain,0,10,-4.933615,-5.211883,0.278268,0.424211,3.757396,50,50,0.7767,14858,0.9204,0.9139,0.8083,0.7934,,85,8.0
1287,round,1,1,-4.929817,-5.218209,0.288392,0.415344,3.755702,50,50,0.7848,14858,0.9208,0.9096,0.7912,0.7815,,85,8.8
1404,round,1,2,-4.894489,-5.219248,0.324759,0.419617,3.759243,50,50,0.7826,14858,0.9182,0.9136,0.8071,0.8017,,85,9.5
1521,round,2,1,-4.920508,-5.231506,0.310998,0.407083,3.759059,49,50,0.7975,14858,0.9227,0.9154,0.8033,0.7998,,85,10.2
1638,round,2,2,-4.956617,-5.235627,0.27901,0.402572,3.758799,49,50,0.7932,14858,0.9192,0.9169,0.8211,0.8089,,85,10.9
1755,round,3,1,-4.925253,-5.229704,0.304452,0.403728,3.755621,50,50,0.7869,14858,0.9204,0.9152,0.8081,0.8031,,85,11.6
1872,round,3,2,-4.933057,-5.223109,0.290052,0.406502,3.753074,50,50,0.7955,14858,0.9178,0.9152,0.8065,0.7977,,85,12.3
1989,round,4,1,-4.956276,-5.242702,0.286426,0.392763,3.756976,50,50,0.8028,14858,0.9208,0.91,0.774,0.7714,,85,13.0
2106,round,4,2,-4.966402,-5.246102,0.2797,0.390313,3.75761,50,50,0.7988,14858,0.9232,0.9149,0.7913,0.7872,,85,13.7
2223,round,5,1,-5.002381,-5.25216,0.249779,0.38485,3.758007,49,50,0.7984,14858,0.9213,0.9161,0.8103,0.8013,,85,14.5
2340,round,5,2,-5.0039,-5.251864,0.247964,0.383825,3.757126,48,50,0.8057,14858,0.9213,0.9212,0.8159,0.8207,,85,15.1
2457,round,6,1,-5.000347,-5.248528,0.248182,0.386292,3.756547,50,50,0.7966,14858,0.9174,0.9146,0.8042,0.7975,,85,15.9
2574,round,6,2,-4.989518,-5.245085,0.255567,0.385367,3.753635,50,50,0.7995,14858,0.915,0.9166,0.7967,0.7954,,85,16.6
2691,round,7,1,-5.024929,-5.26276,0.237831,0.375087,3.758565,50,50,0.798,14858,0.9219,0.9172,0.8075,0.8101,,85,17.3
