step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955611,-1.955911,0.0003,3.911355,3.91151,23,50,0.0207,830,0.3858,0.225,0.0514,,85,1.3
14,pretrain,0,2,-1.956071,-1.956189,0.000118,3.911788,3.911985,37,50,0.0216,830,0.5706,0.3106,0.1964,,85,1.3
21,pretrain,0,3,-1.960675,-1.969568,0.008893,3.896811,3.910919,17,50,0.0384,830,0.4384,0.1994,0.0654,,85,1.4
28,pretrain,0,4,-2.085905,-2.210267,0.124362,3.616566,3.884555,21,50,0.0892,830,0.5624,0.2794,0.1698,,85,1.4
35,pretrain,0,5,-2.396225,-2.620203,0.223978,3.099975,3.813452,34,49,0.1195,830,0.5862,0.3488,0.218,,85,1.5
42,pretrain,0,6,-2.716449,-2.908171,0.191722,2.818725,3.817931,28,49,0.1864,830,0.6273,0.4031,0.3014,,85,1.5
49,pretrain,0,7,-2.817842,-3.156515,0.338673,2.557788,3.809535,28,49,0.2366,830,0.6997,0.4569,0.3742,,85,1.6
56,pretrain,0,8,-3.018209,-3.382402,0.364193,2.326492,3.805929,33,48,0.2577,830,0.728,0.4963,0.4008,,85,1.6
63,pretrain,0,9,-3.257844,-3.617185,0.359342,2.093655,3.807227,35,50,0.3025,830,0.7615,0.5275,0.4398,,85,1.7
70,pretrain,0,10,-3.421776,-3.836264,0.414488,1.846377,3.788428,37,48,0.3622,830,0.7719,0.5575,0.4796,,85,1.8
77,round,1,1,-3.477826,-4.019164,0.541338,1.643582,3.775164,39,50,0.4148,830,0.7975,0.5887,0.5204,3,50,24.1
84,round,1,2,-3.766789,-4.15256,0.385771,1.47657,3.752754,34,47,0.484,830,0.8269,0.6169,0.5677,3,50,24.1
91,round,2,1,-3.829146,-4.304951,0.475804,1.282474,3.724949,36,45,0.5293,830,0.812,0.6088,0.5598,3,50,45.3
98,round,2,2,-3.85158,-4.395983,0.544404,1.132567,3.6857,31,48,0.576,830,0.845,0.6519,0.5981,3,50,45.4
105,round,3,1,-3.809653,-4.463837,0.654184,1.079703,3.695694,35,47,0.5976,830,0.8635,0.6975,0.6782,3,49,66.4
112,round,3,2,-3.949879,-4.527885,0.578006,1.059874,3.725173,37,47,0.5838,830,0.8604,0.6956,0.6754,3,49,66.4
119,round,4,1,-4.134245,-4.601586,0.467341,1.041694,3.762187,40,50,0.5859,830,0.8694,0.7375,0.7056,3,48,89.4
126,round,4,2,-4.130936,-4.686074,0.555138,0.985561,3.78109,41,50,0.6066,830,0.8762,0.7438,0.7203,3,48,89.5
133,round,5,1,-4.162983,-4.713218,0.550235,0.898837,3.74137,42,49,0.629,830,0.8787,0.7344,0.7202,3,55,111.9
140,round,5,2,-4.222709,-4.748769,0.52606,0.875423,3.749461,44,49,0.6453,830,0.88,0.735,0.7303,3,55,111.9
147,round,6,1,-4.313271,-4.791428,0.478157,0.83437,3.750532,46,49,0.6622,830,0.8823,0.7419,0.7401,3,60,146.4
154,round,6,2,-4.25042,-4.862362,0.611942,0.747693,3.740037,44,49,0.6991,830,0.8972,0.7744,0.7654,3,60,146.4
161,round,7,1,-4.538347,-4.891389,0.353043,0.706674,3.732042,46,49,0.7009,830,0.8896,0.7706,0.7565,3,57,170.9
168,round,7,2,-4.442575,-4.940163,0.497588,0.673551,3.742476,47,50,0.688,830,0.8843,0.7625,0.7484,3,57,170.9
175,round,8,1,-4.118809,-4.934514,0.815705,0.698783,3.755531,44,50,0.6963,830,0.8929,0.7569,0.7509,4,50,212.9
182,round,8,2,-4.484465,-4.932462,0.447997,0.691375,3.749225,46,50,0.7038,830,0.8998,0.79,0.7802,4,50,213.0
189,round,9,1,-4.423554,-4.956277,0.532723,0.675664,3.754627,45,50,0.7106,830,0.8946,0.7731,0.757,3,58,223.7
196,round,9,2,-4.372731,-4.950109,0.577378,0.687662,3.758514,49,50,0.7049,830,0.8872,0.7594,0.7435,3,58,223.8
203,round,10,1,-4.536133,-4.972539,0.436406,0.667793,3.760222,48,50,0.7109,830,0.8987,0.7844,0.7614,4,55,266.1
210,round,10,2,-4.475351,-4.97742,0.502069,0.66284,3.760174,48,50,0.7129,830,0.8793,0.715,0.7036,4,55,266.2
217,round,11,1,-4.61619,-4.988528,0.372338,0.62867,3.744799,47,49,0.7259,830,0.8799,0.75,0.7319,4,54,288.6
224,round,11,2,-4.321363,-5.026808,0.705445,0.586368,3.742118,48,50,0.7319,830,0.8882,0.7694,0.7515,4,54,288.6
231,round,12,1,-4.427552,-5.022249,0.594697,0.610734,3.755322,47,50,0.7312,830,0.8989,0.7812,0.7745,3,64,308.9
238,round,12,2,-4.507963,-4.966573,0.45861,0.649021,3.74373,47,50,0.7242,830,0.886,0.7594,0.7425,3,64,309.0
245,round,13,1,-4.574571,-4.977896,0.403325,0.632466,3.740241,44,50,0.7469,830,0.896,0.795,0.7676,3,57,349.4
252,round,13,2,-4.528362,-5.03114,0.502778,0.595389,3.75102,47,50,0.7548,830,0.8952,0.7781,0.7544,3,57,349.4
259,round,14,1,-4.515564,-5.045317,0.529753,0.572512,3.745219,45,50,0.7573,830,0.8982,0.78,0.7663,3,64,389.9
266,round,14,2,-4.509454,-5.064575,0.555121,0.561851,3.750951,45,50,0.7646,830,0.9045,0.8069,0.791,3,64,389.9
273,round,15,1,-4.447728,-5.061413,0.613684,0.570412,3.754549,46,50,0.7683,830,0.8995,0.7875,0.7728,3,58,417.2
280,round,15,2,-4.573816,-5.083598,0.509782,0.542685,3.750855,47,50,0.764,830,0.8958,0.7756,0.7607,3,58,417.2
287,round,16,1,-4.69821,-5.071934,0.373724,0.536275,3.738806,46,50,0.7647,830,0.8988,0.785,0.7689,3,58,448.5
294,round,16,2,-4.558565,-5.128858,0.570293,0.532581,3.774293,47,50,0.7756,830,0.9019,0.7869,0.7692,3,58,448.6
301,round,17,1,-4.564282,-5.117138,0.552857,0.516081,3.75548,48,50,0.778,830,0.8969,0.7794,0.7613,3,61,489.0
308,round,17,2,-4.689721,-5.105166,0.415445,0.498858,3.736016,49,50,0.7824,830,0.8941,0.7525,0.7419,3,61,489.1
315,round,18,1,-4.427423,-5.13461,0.707188,0.50068,3.75686,48,50,0.7837,830,0.9011,0.7762,0.7606,4,51,531.4
322,round,18,2,-4.404017,-5.110153,0.706135,0.521348,3.754334,48,50,0.7708,830,0.8932,0.7694,0.7543,4,51,531.5
329,round,19,1,-4.569021,-5.081301,0.51228,0.577032,3.772223,50,50,0.7753,830,0.8996,0.7831,0.7724,3,60,551.7
336,round,19,2,-4.632807,-5.094291,0.461485,0.516054,3.74023,50,50,0.794,830,0.8999,0.7937,0.778,3,60,551.8
343,round,20,1,-4.373239,-5.120715,0.747476,0.461531,3.721497,49,50,0.7969,830,0.8997,0.7875,0.7625,4,52,594.7
350,round,20,2,-4.446836,-5.112037,0.665201,0.473469,3.723671,50,50,0.7826,830,0.8969,0.76,0.7436,4,52,594.7
