step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-1.208172,-1.73902,0.530848,1.175118,2.914138,16,17,0.9095,14855,0.9216,0.7449,0.4119,0.3674,,85,2.2
234,pretrain,0,2,-1.988393,-2.450351,0.461958,0.229676,2.680027,18,17,0.9463,14855,0.9188,0.7842,0.4603,0.422,,85,3.4
351,pretrain,0,3,-2.215397,-2.570198,0.354801,0.14621,2.716408,18,19,0.9689,14855,0.9208,0.8074,0.4819,0.4514,,85,4.6
468,pretrain,0,4,-2.357033,-2.620876,0.263843,0.107576,2.728452,20,20,0.9625,14855,0.9214,0.808,0.4879,0.4576,,85,5.7
585,pretrain,0,5,-2.416842,-2.640434,0.223592,0.091041,2.731475,20,19,0.9693,14855,0.9208,0.8103,0.4888,0.4588,,85,6.9
702,pretrain,0,6,-2.457364,-2.651852,0.194488,0.080962,2.732814,20,19,0.9697,14855,0.9183,0.8128,0.4829,0.4556,,85,8.1
819,pretrain,0,7,-2.488173,-2.65152,0.163347,0.076619,2.728139,19,19,0.9772,14855,0.9206,0.815,0.4921,0.4624,,85,9.2
936,pretrain,0,8,-2.504831,-2.665238,0.160407,0.066342,2.73158,19,19,0.9774,14855,0.9179,0.8142,0.4909,0.461,,85,10.4
1053,pretrain,0,9,-2.483905,-2.662946,0.179041,0.07028,2.733226,20,19,0.9782,14855,0.9216,0.814,0.486,0.46,,85,11.6
1170,pretrain,0,10,-2.49559,-2.667545,0.171956,0.06632,2.733865,20,18,0.9781,14855,0.9198,0.8126,0.493,0.4628,,85,12.7
1287,round,1,1,-2.486605,-2.686526,0.199922,0.073776,2.760303,20,18,0.975,14855,0.9194,0.8206,0.4965,0.4849,1,76,34.0
1404,round,1,2,-2.526631,-2.697715,0.171084,0.069683,2.767398,19,19,0.9811,14855,0.9178,0.8215,0.4976,0.4869,1,76,35.2
1521,round,2,1,-2.568313,-2.708065,0.139751,0.060243,2.768307,21,18,0.9777,14855,0.9215,0.8195,0.4939,0.4841,1,75,56.4
1638,round,2,2,-2.527179,-2.702771,0.175592,0.063469,2.76624,20,20,0.9768,14855,0.9227,0.8196,0.4957,0.4854,1,75,57.6
