step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.352938,-1.353532,0.000594,2.706366,2.706599,15,15,0.0677,2579,0.6258,0.339,0.3746,0.2272,,64,1.5
42,pretrain,0,2,-1.354055,-1.354238,0.000183,2.707823,2.708041,12,15,0.0716,2579,0.6181,0.4522,0.3714,0.2553,,64,1.7
63,pretrain,0,3,-1.410144,-1.489106,0.078963,2.556809,2.697277,8,15,0.1804,2579,0.6181,0.4567,0.3897,0.2589,,64,1.8
84,pretrain,0,4,-1.57915,-1.856176,0.277026,2.165998,2.681449,14,15,0.1875,2579,0.6119,0.5482,0.4504,0.3245,,64,2.0
105,pretrain,0,5,-1.705912,-2.029797,0.323885,2.004014,2.689207,15,15,0.2228,2579,0.6219,0.6102,0.5612,0.472,,64,2.2
126,pretrain,0,6,-1.81413,-2.118444,0.304314,1.915478,2.689281,15,15,0.2412,2579,0.6157,0.5993,0.5492,0.5021,,64,2.3
147,pretrain,0,7,-1.898192,-2.218033,0.319842,1.810179,2.685475,15,15,0.3162,2579,0.6173,0.6012,0.5149,0.4394,,64,2.5
168,pretrain,0,8,-2.029561,-2.452445,0.422883,1.552991,2.670291,13,15,0.3934,2579,0.627,0.6728,0.5726,0.4929,,64,2.7
189,pretrain,0,9,-2.162436,-2.606413,0.443977,1.396025,2.668292,15,15,0.4421,2579,0.6095,0.6696,0.6067,0.5242,,64,2.8
210,pretrain,0,10,-2.270269,-2.698758,0.428489,1.274077,2.648557,14,15,0.4942,2579,0.62,0.6993,0.6433,0.5758,,64,3.0
231,round,1,1,-2.32945,-2.775099,0.445649,1.211486,2.657723,15,15,0.4912,2579,0.6053,0.6839,0.6215,0.5546,2,47,3.6
252,round,1,2,-2.373029,-2.864172,0.491143,1.122067,2.657492,15,15,0.4531,2579,0.6076,0.6592,0.6155,0.5215,2,47,3.8
273,round,2,1,-2.418088,-2.82725,0.409162,1.164617,2.661244,15,15,0.5202,2579,0.6188,0.693,0.6575,0.5728,2,44,8.2
294,round,2,2,-2.450411,-2.920793,0.470382,1.044623,2.643611,15,15,0.5428,2579,0.6142,0.6875,0.6329,0.5903,2,44,8.3
