step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.353218,-1.353589,0.00037,2.706655,2.706829,11,15,0.0679,2620,0.6256,0.3418,0.3559,0.2326,,64,1.4
42,pretrain,0,2,-1.354139,-1.354337,0.000198,2.707708,2.70803,12,15,0.0761,2620,0.6198,0.4275,0.3542,0.235,,64,1.6
63,pretrain,0,3,-1.400353,-1.510628,0.110275,2.542031,2.701773,15,15,0.187,2620,0.6179,0.4716,0.392,0.3096,,64,1.7
84,pretrain,0,4,-1.553816,-1.883357,0.329541,2.163105,2.697641,15,15,0.1898,2620,0.6214,0.5477,0.4579,0.3538,,64,1.9
105,pretrain,0,5,-1.723002,-1.973902,0.2509,2.071487,2.696926,15,15,0.2528,2620,0.6248,0.6132,0.5573,0.4836,,64,2.1
126,pretrain,0,6,-1.893803,-2.26882,0.375018,1.769141,2.691974,14,15,0.3267,2620,0.616,0.6274,0.5556,0.4828,,64,2.3
147,pretrain,0,7,-2.01109,-2.426432,0.415341,1.609416,2.690565,14,15,0.3608,2620,0.626,0.6605,0.587,0.5028,,64,2.5
168,pretrain,0,8,-2.149492,-2.571122,0.42163,1.458998,2.686747,14,15,0.426,2620,0.6252,0.6784,0.613,0.5301,,64,2.6
189,pretrain,0,9,-2.216051,-2.68057,0.464519,1.331192,2.674508,15,15,0.4047,2620,0.6237,0.674,0.5807,0.4898,,64,2.8
210,pretrain,0,10,-2.315094,-2.740755,0.425661,1.263895,2.669766,15,15,0.4181,2620,0.626,0.6877,0.6171,0.5303,,64,2.9
231,round,1,1,-2.396918,-2.767985,0.371067,1.231782,2.666512,15,15,0.4637,2620,0.6263,0.6877,0.6423,0.5768,1,48,32.5
252,round,1,2,-2.423351,-2.822415,0.399064,1.168833,2.660832,15,15,0.4777,2620,0.6137,0.689,0.6053,0.5462,1,48,32.7
273,round,2,1,-2.499759,-2.875077,0.375317,1.108142,2.655479,15,15,0.4935,2620,0.6118,0.6963,0.6256,0.5668,1,49,55.6
294,round,2,2,-2.553641,-2.925052,0.371411,1.051279,2.650887,15,15,0.5367,2620,0.6118,0.6888,0.6708,0.6001,1,49,55.7
315,round,3,1,-2.549153,-2.964344,0.41519,0.998051,2.641597,15,15,0.5454,2620,0.6275,0.6809,0.6579,0.5715,1,49,68.2
336,round,3,2,-2.619494,-2.992433,0.372939,0.947698,2.626754,15,15,0.5806,2620,0.6252,0.7024,0.6699,0.6105,1,49,68.3
357,round,4,1,-2.608678,-3.015497,0.40682,0.922166,2.625109,15,15,0.5683,2620,0.6145,0.6787,0.6188,0.5671,1,49,188.8
378,round,4,2,-2.679748,-3.031125,0.351377,0.907397,2.625682,15,15,0.6003,2620,0.6172,0.6836,0.6429,0.5869,1,49,189.0
399,round,5,1,-2.67193,-3.065801,0.393871,0.878047,2.629232,15,15,0.5958,2620,0.6172,0.6839,0.65,0.5882,1,46,209.5
420,round,5,2,-2.674306,-3.075555,0.401249,0.857655,2.62214,15,15,0.6005,2620,0.624,0.6732,0.646,0.5674,1,46,209.6
441,round,6,1,-2.705499,-3.093093,0.387594,0.838307,2.620934,15,15,0.613,2620,0.6218,0.6775,0.6344,0.5698,1,49,213.5
462,round,6,2,-2.708017,-3.098848,0.390832,0.829414,2.618841,15,15,0.6231,2620,0.6237,0.6799,0.6419,0.5793,1,49,213.6
483,round,7,1,-2.74021,-3.104816,0.364606,0.837461,2.628184,15,15,0.6181,2620,0.6374,0.6888,0.6566,0.5879,1,49,224.7
504,round,7,2,-2.730017,-3.135896,0.405878,0.785301,2.614131,15,15,0.6282,2620,0.6252,0.6947,0.6782,0.5985,1,49,224.8
525,round,8,1,-2.739655,-3.108045,0.368391,0.820379,2.61895,15,15,0.6481,2620,0.6183,0.7127,0.6866,0.6132,,64,225.0
546,round,8,2,-2.750127,-3.150267,0.40014,0.779002,2.619512,15,15,0.6382,2620,0.634,0.6875,0.6269,0.5751,,64,225.1
567,round,9,1,-2.773757,-3.165793,0.392036,0.75567,2.614308,15,15,0.6384,2620,0.6229,0.697,0.6377,0.5832,1,48,263.1
588,round,9,2,-2.798176,-3.153672,0.355497,0.7666,2.613515,15,15,0.6564,2620,0.6321,0.6806,0.6298,0.5735,1,48,263.2
609,round,10,1,-2.815486,-3.170451,0.354965,0.755435,2.617257,15,15,0.6559,2620,0.6263,0.6791,0.6223,0.5686,1,47,307.2
