step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.353401,-1.353735,0.000334,2.707011,2.707164,15,15,0.0676,2615,0.6122,0.3225,0.3453,0.2079,,64,1.5
42,pretrain,0,2,-1.354097,-1.354256,0.000159,2.707808,2.708043,14,15,0.0731,2615,0.6325,0.4823,0.4706,0.2971,,64,1.6
63,pretrain,0,3,-1.383413,-1.535946,0.152533,2.513458,2.699602,8,15,0.1424,2615,0.6176,0.3867,0.3037,0.1069,,64,1.8
84,pretrain,0,4,-1.466887,-1.749538,0.282651,2.276936,2.684316,13,15,0.1731,2615,0.626,0.5651,0.5034,0.4066,,64,1.9
105,pretrain,0,5,-1.656192,-2.01498,0.358788,2.000876,2.677237,15,15,0.2174,2615,0.6107,0.5721,0.5406,0.3865,,64,2.1
126,pretrain,0,6,-1.780204,-2.133901,0.353697,1.889417,2.682212,15,15,0.2455,2615,0.6272,0.6479,0.6153,0.5089,,64,2.2
147,pretrain,0,7,-1.870362,-2.171591,0.301228,1.811218,2.655206,13,15,0.3289,2615,0.6229,0.6753,0.6113,0.5408,,64,2.4
168,pretrain,0,8,-2.064452,-2.574047,0.509596,1.436515,2.673708,15,15,0.4288,2615,0.6249,0.6817,0.6481,0.569,,64,2.5
189,pretrain,0,9,-2.201808,-2.75048,0.548671,1.240657,2.660758,15,15,0.4739,2615,0.6256,0.6932,0.6396,0.5529,,64,2.7
210,pretrain,0,10,-2.365451,-2.871897,0.506446,1.11595,2.658565,14,15,0.4715,2615,0.6153,0.7072,0.6618,0.522,,64,2.8
231,round,1,1,-2.174895,-2.700796,0.525901,1.306229,2.67135,15,15,0.4528,2615,0.5736,0.6975,0.5903,0.5327,1,27,3.2
252,round,1,2,-2.275163,-2.758584,0.483421,1.250734,2.672879,15,15,0.4776,2615,0.5537,0.6995,0.63,0.5631,1,27,3.4
273,round,2,1,-2.278727,-2.787195,0.508468,1.212595,2.666526,15,15,0.4514,2615,0.5549,0.6851,0.6358,0.5492,1,27,3.7
294,round,2,2,-2.371479,-2.801242,0.429763,1.20448,2.670481,15,15,0.4689,2615,0.5553,0.679,0.6047,0.489,1,27,3.8
315,round,3,1,-2.356107,-2.823256,0.467149,1.172728,2.66399,15,15,0.4773,2615,0.5591,0.6687,0.6213,0.5031,1,26,4.2
336,round,3,2,-2.438373,-2.861693,0.423321,1.142195,2.669259,15,15,0.4897,2615,0.5663,0.6744,0.5951,0.5117,1,26,4.3
357,round,4,1,-2.495043,-2.945577,0.450534,1.058219,2.669198,15,15,0.5086,2615,0.5648,0.668,0.6404,0.5335,1,26,4.7
378,round,4,2,-2.523269,-2.958085,0.434816,1.048955,2.67136,15,15,0.5214,2615,0.5686,0.6819,0.6184,0.5259,1,26,4.8
399,round,5,1,-2.490168,-2.976377,0.486209,1.026153,2.668353,15,15,0.5453,2615,0.5618,0.6755,0.6547,0.5242,1,27,5.3
420,round,5,2,-2.487445,-2.987612,0.500167,1.014429,2.668027,15,15,0.5222,2615,0.5361,0.6747,0.6888,0.5751,1,27,5.4
441,round,6,1,-2.35993,-2.971418,0.611488,1.025837,2.664837,15,15,0.51,2615,0.5641,0.6832,0.657,0.5379,1,26,5.8
462,round,6,2,-2.435402,-2.95056,0.515157,1.044467,2.663351,15,15,0.5321,2615,0.5468,0.6728,0.6485,0.5277,1,26,6.0
483,round,7,1,-2.587468,-3.027098,0.43963,0.973092,2.666794,15,15,0.5688,2615,0.5679,0.6767,0.6691,0.5456,1,26,6.2
504,round,7,2,-2.589774,-3.05115,0.461376,0.943184,2.662889,15,15,0.5584,2615,0.5663,0.6642,0.6119,0.5096,1,26,6.4
525,round,8,1,-2.579298,-3.060161,0.480863,0.92454,2.656467,15,15,0.5706,2615,0.5881,0.6748,0.6346,0.518,1,27,6.8
546,round,8,2,-2.695964,-3.090263,0.394299,0.904331,2.663063,15,15,0.5886,2615,0.587,0.6691,0.6257,0.4967,1,27,6.9
567,round,9,1,-2.598194,-3.090561,0.492367,0.903181,2.662495,15,15,0.5776,2615,0.569,0.6811,0.6367,0.5487,1,27,7.5
588,round,9,2,-2.64408,-3.103094,0.459014,0.894873,2.665312,15,15,0.5812,2615,0.5392,0.6489,0.6138,0.476,1,27,7.7
609,round,10,1,-2.604768,-3.085489,0.480721,0.884288,2.646518,15,15,0.5877,2615,0.5679,0.6482,0.5666,0.4529,1,27,8.0
630,round,10,2,-2.686951,-3.123081,0.43613,0.85588,2.652641,15,15,0.6035,2615,0.5663,0.6546,0.635,0.5172,1,27,8.2
651,round,11,1,-2.733682,-3.161514,0.427832,0.799096,2.640407,15,15,0.6134,2615,0.5885,0.6575,0.6363,0.5329,1,28,8.5
672,round,11,2,-2.750859,-3.152263,0.401404,0.812826,2.643393,15,15,0.6157,2615,0.5828,0.6683,0.6427,0.5416,1,28,8.7
693,round,12,1,-2.738051,-3.185836,0.447785,0.773988,2.639883,15,15,0.6143,2615,0.5663,0.6609,0.6229,0.5176,1,26,9.1
714,round,12,2,-2.774194,-3.154209,0.380015,0.807427,2.641091,15,15,0.6286,2615,0.5663,0.6561,0.6315,0.5068,1,26,9.3
735,round,13,1,-2.780471,-3.176996,0.396525,0.771869,2.632577,15,15,0.6161,2615,0.5717,0.6505,0.6215,0.5123,1,27,9.7
756,round,13,2,-2.832268,-3.218926,0.386659,0.725517,2.629629,15,15,0.6286,2615,0.574,0.6521,0.5997,0.4822,1,27,9.9
777,round,14,1,-2.731756,-3.18172,0.449964,0.777122,2.639228,15,15,0.6247,2615,0.5598,0.658,0.5982,0.4863,1,26,10.4
