step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955556,-1.955867,0.000311,3.911279,3.91143,32,50,0.0206,810,0.4226,0.2356,0.091,,85,1.1
14,pretrain,0,2,-1.956036,-1.95612,8.4e-05,3.911881,3.912001,31,50,0.0213,810,0.5605,0.3206,0.1882,,85,1.2
21,pretrain,0,3,-1.963142,-1.966636,0.003494,3.900383,3.911346,19,50,0.0403,810,0.4704,0.2031,0.0988,,85,1.2
28,pretrain,0,4,-2.140511,-2.223832,0.083321,3.56068,3.856341,16,50,0.0752,810,0.5398,0.2319,0.1682,,85,1.3
35,pretrain,0,5,-2.405412,-2.554797,0.149385,3.163729,3.812351,23,50,0.0814,810,0.6069,0.3312,0.2292,,85,1.3
42,pretrain,0,6,-2.546738,-2.725532,0.178794,3.011919,3.824967,24,50,0.1175,810,0.6125,0.3294,0.2548,,85,1.4
49,pretrain,0,7,-2.611607,-2.963317,0.35171,2.765288,3.81907,33,50,0.1595,810,0.6667,0.3775,0.2891,,85,1.5
56,pretrain,0,8,-2.935422,-3.212047,0.276625,2.524118,3.82411,34,50,0.2504,810,0.6998,0.4375,0.3763,,85,1.5
63,pretrain,0,9,-2.937231,-3.492077,0.554846,2.141166,3.755495,36,48,0.3191,810,0.7258,0.4531,0.3948,,85,1.6
70,pretrain,0,10,-3.267158,-3.69862,0.431461,1.92481,3.748953,31,47,0.3881,810,0.7463,0.485,0.4201,,85,1.7
77,round,1,1,-3.439514,-3.875707,0.436192,1.674183,3.699926,35,46,0.4355,810,0.7824,0.5613,0.5009,,85,1.7
84,round,1,2,-3.725,-4.067141,0.342141,1.525975,3.728744,34,46,0.473,810,0.7883,0.535,0.4887,,85,1.8
91,round,2,1,-3.826332,-4.223224,0.396892,1.308311,3.68769,37,47,0.5357,810,0.816,0.5844,0.5202,,85,1.9
98,round,2,2,-3.513478,-4.342027,0.828549,1.147086,3.659409,34,46,0.5902,810,0.8171,0.6181,0.5497,,85,1.9
105,round,3,1,-3.874382,-4.401358,0.526976,1.038811,3.626779,35,45,0.6189,810,0.8269,0.6112,0.5613,,85,2.0
112,round,3,2,-4.128302,-4.469002,0.3407,1.003232,3.648156,36,44,0.6093,810,0.8461,0.6781,0.6177,,85,2.1
119,round,4,1,-3.981258,-4.526023,0.544765,0.954616,3.653759,39,46,0.639,810,0.8508,0.6737,0.6114,,85,2.1
126,round,4,2,-4.048245,-4.61725,0.569005,0.917299,3.689699,40,48,0.6113,810,0.8643,0.7381,0.694,,85,2.2
133,round,5,1,-4.307045,-4.645926,0.338881,0.955847,3.734515,39,48,0.6303,810,0.8684,0.7194,0.6732,,85,2.3
140,round,5,2,-4.268189,-4.673642,0.405453,0.875956,3.699732,37,47,0.6617,810,0.8692,0.7412,0.6822,,85,2.3
147,round,6,1,-4.348143,-4.73928,0.391137,0.80976,3.69936,44,47,0.6692,810,0.8748,0.74,0.6937,,85,2.4
154,round,6,2,-4.250007,-4.75202,0.502013,0.808108,3.706752,43,47,0.6673,810,0.8732,0.7369,0.7066,,85,2.5
