step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.352844,-1.35347,0.000626,2.706249,2.706479,15,15,0.0677,2561,0.6103,0.3119,0.3228,0.1782,,64,1.5
42,pretrain,0,2,-1.354025,-1.354103,7.8e-05,2.707964,2.708044,15,15,0.0688,2561,0.6209,0.3989,0.3386,0.1742,,64,1.7
63,pretrain,0,3,-1.355529,-1.364085,0.008556,2.696956,2.707361,15,15,0.1124,2561,0.613,0.4962,0.423,0.2851,,64,1.9
84,pretrain,0,4,-1.43007,-1.673152,0.243082,2.369657,2.695206,10,15,0.2068,2561,0.6056,0.4847,0.4249,0.3016,,64,2.1
105,pretrain,0,5,-1.632653,-2.0029,0.370248,2.030237,2.688758,14,15,0.2288,2561,0.6087,0.5478,0.4816,0.3906,,64,2.3
126,pretrain,0,6,-1.744122,-2.118557,0.374435,1.918684,2.691494,15,15,0.2664,2561,0.6193,0.5928,0.5332,0.4339,,64,2.4
147,pretrain,0,7,-1.855899,-2.257651,0.401752,1.782325,2.693317,14,15,0.2871,2561,0.6072,0.6205,0.5701,0.4859,,64,2.6
168,pretrain,0,8,-1.944547,-2.376748,0.432201,1.656459,2.688804,13,15,0.3117,2561,0.6201,0.6206,0.5342,0.4449,,64,2.9
189,pretrain,0,9,-2.051143,-2.468782,0.417639,1.57013,2.692608,14,15,0.4062,2561,0.6275,0.6558,0.5656,0.5045,,64,3.0
210,pretrain,0,10,-2.20158,-2.704576,0.502997,1.312667,2.678162,15,15,0.4571,2561,0.6142,0.6631,0.6005,0.4843,,64,3.2
231,round,1,1,-2.113957,-2.648948,0.534991,1.36503,2.675985,14,15,0.4192,2561,0.5428,0.6386,0.5608,0.466,1,26,3.8
252,round,1,2,-2.257797,-2.668989,0.411192,1.360513,2.686334,15,15,0.421,2561,0.5416,0.6483,0.5965,0.501,1,26,3.9
273,round,2,1,-2.291536,-2.701178,0.409642,1.317181,2.678905,15,15,0.414,2561,0.551,0.626,0.54,0.465,1,26,4.4
294,round,2,2,-2.347037,-2.751112,0.404075,1.271736,2.681899,15,15,0.4286,2561,0.556,0.6201,0.5045,0.4346,1,26,4.6
315,round,3,1,-2.353379,-2.768818,0.415439,1.259241,2.685372,15,15,0.4178,2561,0.5685,0.6255,0.5165,0.4383,1,26,5.4
336,round,3,2,-2.411077,-2.801694,0.390617,1.222518,2.682808,15,15,0.4362,2561,0.5697,0.6339,0.578,0.5004,1,26,5.6
357,round,4,1,-2.4156,-2.818265,0.402664,1.208595,2.684573,15,15,0.4127,2561,0.5404,0.5978,0.5564,0.4604,1,26,6.1
378,round,4,2,-2.401184,-2.796385,0.395201,1.233961,2.686897,15,15,0.4252,2561,0.5529,0.6307,0.5305,0.4536,1,26,6.3
399,round,5,1,-2.470077,-2.805728,0.335651,1.223891,2.686413,15,15,0.4288,2561,0.5213,0.6074,0.5036,0.4176,1,26,6.9
420,round,5,2,-2.478326,-2.859232,0.380906,1.165223,2.68297,15,15,0.4253,2561,0.5256,0.6089,0.5194,0.4191,1,26,7.1
441,round,6,1,-2.463742,-2.851766,0.388024,1.168631,2.680265,15,15,0.44,2561,0.5556,0.6029,0.5198,0.4342,1,25,8.0
462,round,6,2,-2.500077,-2.848374,0.348298,1.176756,2.68342,15,15,0.4573,2561,0.5451,0.6231,0.512,0.4196,1,25,8.3
483,round,7,1,-2.541566,-2.903984,0.362417,1.114899,2.679255,15,15,0.4687,2561,0.5595,0.6229,0.5408,0.4298,1,29,8.9
504,round,7,2,-2.505698,-2.887107,0.381408,1.144315,2.687614,15,15,0.4509,2561,0.5467,0.5993,0.5011,0.4293,1,29,9.1
525,round,8,1,-2.525153,-2.899248,0.374094,1.11887,2.678745,15,15,0.4709,2561,0.5572,0.6198,0.5668,0.4821,1,29,9.8
546,round,8,2,-2.579349,-2.91238,0.333031,1.101375,2.675836,15,15,0.474,2561,0.5424,0.6341,0.5529,0.4981,1,29,10.0
567,round,9,1,-2.575058,-2.935451,0.360393,1.07606,2.67434,15,15,0.4786,2561,0.5611,0.6217,0.5724,0.4767,1,28,10.3
588,round,9,2,-2.564253,-2.92388,0.359627,1.089071,2.675301,15,15,0.4721,2561,0.5494,0.6018,0.4828,0.4075,1,28,10.5
609,round,10,1,-2.575917,-2.941359,0.365441,1.069029,2.673592,15,15,0.475,2561,0.5537,0.6046,0.5246,0.4106,1,26,11.1
630,round,10,2,-2.622436,-2.941974,0.319537,1.059511,2.667656,15,15,0.5058,2561,0.5642,0.6168,0.53,0.4336,1,26,11.3
651,round,11,1,-2.621234,-2.981211,0.359977,1.022702,2.669275,15,15,0.4902,2561,0.5545,0.6172,0.5635,0.4553,1,27,11.6
672,round,11,2,-2.656854,-2.965137,0.308283,1.03618,2.667545,15,15,0.4868,2561,0.5713,0.6259,0.5525,0.4632,1,27,11.8
693,round,12,1,-2.647766,-2.989223,0.341457,1.01422,2.668962,15,15,0.5081,2561,0.5677,0.6341,0.5321,0.46,1,27,12.2
714,round,12,2,-2.667835,-2.986047,0.318212,1.005127,2.660782,15,15,0.523,2561,0.5611,0.6407,0.5855,0.4887,1,27,12.4
735,round,13,1,-2.612797,-2.984941,0.372144,1.004925,2.659911,15,15,0.5304,2561,0.5287,0.6404,0.5589,0.4593,1,24,12.8
756,round,13,2,-2.654478,-3.053946,0.399468,0.921997,2.650629,15,15,0.5688,2561,0.5353,0.6391,0.5577,0.4621,1,24,13.0
777,round,14,1,-2.731712,-3.076534,0.344822,0.900183,2.651145,15,15,0.5802,2561,0.5744,0.6335,0.5406,0.4545,1,29,13.3
798,round,14,2,-2.743573,-3.106224,0.362651,0.864672,2.647264,15,15,0.5882,2561,0.5717,0.6449,0.5772,0.5223,1,29,13.5
