step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-2.865099,-3.248072,0.382973,2.497286,3.830239,45,50,0.5175,14942,0.9209,0.8108,0.6674,0.6021,,85,2.3
234,pretrain,0,2,-4.174062,-4.741624,0.567562,0.890416,3.754694,47,50,0.6838,14942,0.9216,0.8888,0.7756,0.7542,,85,3.2
351,pretrain,0,3,-4.534157,-4.976754,0.442597,0.65262,3.752916,48,50,0.7182,14942,0.9216,0.8942,0.7698,0.7513,,85,4.1
468,pretrain,0,4,-4.679562,-5.058957,0.379395,0.56299,3.747965,50,50,0.7287,14942,0.919,0.897,0.8002,0.7663,,85,4.9
585,pretrain,0,5,-4.789515,-5.109996,0.320481,0.511783,3.747853,50,50,0.7298,14942,0.92,0.8996,0.7657,0.7631,,85,5.8
702,pretrain,0,6,-4.847868,-5.12572,0.277851,0.500477,3.750798,49,50,0.7515,14942,0.9192,0.9046,0.7805,0.7707,,85,6.6
819,pretrain,0,7,-4.867702,-5.146866,0.279163,0.471688,3.745702,50,50,0.7518,14942,0.9229,0.897,0.754,0.7443,,85,7.5
936,pretrain,0,8,-4.90669,-5.167417,0.260727,0.451166,3.745722,50,50,0.7564,14942,0.9208,0.8966,0.7695,0.7471,,85,8.7
1053,pretrain,0,9,-4.900831,-5.161775,0.260943,0.453386,3.74344,50,50,0.7578,14942,0.9188,0.9034,0.7768,0.7617,,85,10.0
1170,pretrain,0,10,-4.926645,-5.174518,0.247873,0.443285,3.745202,50,50,0.7751,14942,0.9195,0.9075,0.7947,0.7862,,85,11.2
1287,round,1,1,-4.906495,-5.17965,0.273155,0.443505,3.748771,50,50,0.7653,14942,0.9216,0.8986,0.7352,0.7378,3,68,253.3
1404,round,1,2,-4.911425,-5.174891,0.263466,0.443272,3.745442,50,50,0.7591,14942,0.9224,0.9052,0.7914,0.7738,3,68,254.4
1521,round,2,1,-4.869947,-5.173538,0.30359,0.438691,3.741486,49,50,0.7785,14942,0.9196,0.9031,0.7603,0.7499,4,53,498.1
1638,round,2,2,-4.879419,-5.174217,0.294798,0.434641,3.739239,50,50,0.7711,14942,0.9195,0.9079,0.7957,0.7713,4,53,499.4
1755,round,3,1,-4.902671,-5.182803,0.280132,0.426837,3.73976,50,50,0.7648,14942,0.9197,0.9015,0.7658,0.7609,3,67,620.9
1872,round,3,2,-4.934342,-5.184878,0.250536,0.429391,3.742846,50,50,0.7726,14942,0.9199,0.9081,0.7937,0.7786,3,67,622.0
1989,round,4,1,-4.877897,-5.18291,0.305013,0.431455,3.74291,50,50,0.7722,14942,0.9188,0.9025,0.7763,0.76,3,71,863.8
2106,round,4,2,-4.88117,-5.192332,0.311162,0.426891,3.746148,49,50,0.7886,14942,0.9234,0.9074,0.8016,0.7751,3,71,865.0
2223,round,5,1,-4.835953,-5.197667,0.361714,0.41423,3.741265,50,50,0.7697,14942,0.9228,0.9073,0.7878,0.7673,3,61,1106.7
2340,round,5,2,-4.859164,-5.190605,0.331441,0.422202,3.741871,50,50,0.7834,14942,0.9198,0.9104,0.817,0.7939,3,61,1107.8
2457,round,6,1,-4.851114,-5.194515,0.343401,0.417351,3.741244,50,50,0.7765,14942,0.9212,0.9116,0.8107,0.7887,4,51,1351.6
2574,round,6,2,-4.904858,-5.203726,0.298868,0.410353,3.74272,50,50,0.7904,14942,0.9238,0.9074,0.7939,0.7709,4,51,1352.8
2691,round,7,1,-4.93334,-5.206214,0.272873,0.407831,3.742696,50,50,0.7823,14942,0.9205,0.9061,0.7862,0.7614,3,67,1474.2
2808,round,7,2,-4.950429,-5.210359,0.259931,0.404809,3.743446,50,50,0.7895,14942,0.9184,0.9099,0.8032,0.7842,3,67,1475.4
2925,round,8,1,-4.928048,-5.213707,0.285659,0.397703,3.74094,50,50,0.7936,14942,0.922,0.9126,0.823,0.7983,4,48,1720.9
