step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.353165,-1.353649,0.000484,2.706686,2.70689,14,15,0.0677,2643,0.6114,0.3236,0.3519,0.1776,,64,1.6
42,pretrain,0,2,-1.354089,-1.354228,0.00014,2.707834,2.708041,12,15,0.0742,2643,0.6247,0.4479,0.3465,0.2244,,64,1.7
63,pretrain,0,3,-1.378908,-1.468536,0.089628,2.58898,2.705011,13,15,0.1596,2643,0.6209,0.5185,0.4407,0.325,,64,1.9
84,pretrain,0,4,-1.539288,-1.801719,0.262432,2.242037,2.695838,13,15,0.1666,2643,0.6069,0.5584,0.507,0.3828,,64,2.0
105,pretrain,0,5,-1.66287,-1.989996,0.327126,2.058671,2.699112,14,15,0.2105,2643,0.6296,0.5662,0.4881,0.3936,,64,2.2
126,pretrain,0,6,-1.757705,-2.106169,0.348464,1.935838,2.694671,15,15,0.2646,2643,0.6137,0.598,0.5425,0.4281,,64,2.3
147,pretrain,0,7,-1.874916,-2.299476,0.42456,1.737957,2.691622,15,15,0.3157,2643,0.6103,0.6293,0.5159,0.4499,,64,2.5
168,pretrain,0,8,-2.039678,-2.504015,0.464336,1.534133,2.692099,15,15,0.3973,2643,0.6228,0.686,0.6539,0.565,,64,2.6
189,pretrain,0,9,-2.166452,-2.674959,0.508507,1.327307,2.668177,15,15,0.4679,2643,0.6213,0.6906,0.6271,0.5498,,64,2.8
210,pretrain,0,10,-2.286764,-2.768621,0.481857,1.244905,2.675684,15,15,0.4856,2643,0.6205,0.6911,0.6446,0.5946,,64,2.9
231,round,1,1,-2.250178,-2.837928,0.58775,1.16751,2.670292,15,15,0.4666,2643,0.5853,0.6945,0.6358,0.5806,1,30,3.5
252,round,1,2,-2.269702,-2.817222,0.54752,1.195579,2.675201,15,15,0.474,2643,0.5793,0.6745,0.613,0.5249,1,30,3.6
273,round,2,1,-2.271683,-2.814323,0.542641,1.208128,2.681634,15,15,0.4453,2643,0.532,0.6382,0.5569,0.4686,1,25,3.9
294,round,2,2,-2.415118,-2.880551,0.465432,1.152591,2.688761,15,15,0.4452,2643,0.5513,0.6387,0.5745,0.4839,1,25,4.0
315,round,3,1,-2.317611,-2.86061,0.542998,1.175353,2.690642,15,15,0.4428,2643,0.5494,0.63,0.5361,0.4535,1,26,4.3
336,round,3,2,-2.389275,-2.868981,0.479706,1.157592,2.684382,15,15,0.4562,2643,0.5498,0.641,0.5818,0.4857,1,26,4.5
357,round,4,1,-2.449568,-2.919961,0.470393,1.11127,2.687487,15,15,0.4632,2643,0.5823,0.6439,0.5726,0.4677,1,23,4.9
378,round,4,2,-2.482982,-2.93383,0.450848,1.098349,2.68812,15,15,0.469,2643,0.5641,0.6538,0.6099,0.4802,1,23,5.0
399,round,5,1,-2.509417,-2.958824,0.449407,1.06821,2.684689,15,15,0.4807,2643,0.5558,0.6324,0.6074,0.4926,1,23,5.6
420,round,5,2,-2.53118,-2.950741,0.419561,1.077503,2.685496,15,15,0.4857,2643,0.5528,0.651,0.604,0.4597,1,23,5.8
441,round,6,1,-2.43501,-2.955817,0.520807,1.070429,2.684164,15,15,0.4833,2643,0.5293,0.6402,0.5469,0.4444,1,25,6.2
462,round,6,2,-2.530392,-2.983456,0.453064,1.045272,2.685819,15,15,0.5055,2643,0.5433,0.6301,0.5523,0.4403,1,25,6.4
483,round,7,1,-2.546627,-2.987747,0.441119,1.03354,2.680858,15,15,0.4981,2643,0.5335,0.622,0.5417,0.4105,1,24,6.9
504,round,7,2,-2.608226,-3.029859,0.421633,1.002854,2.688476,15,15,0.5076,2643,0.5161,0.617,0.5319,0.4215,1,24,7.1
525,round,8,1,-2.669294,-3.063449,0.394155,0.961427,2.68325,15,15,0.5249,2643,0.5528,0.6219,0.5527,0.4271,1,26,7.7
546,round,8,2,-2.641719,-3.058525,0.416806,0.96583,2.682903,15,15,0.5092,2643,0.5467,0.6237,0.5236,0.4059,1,26,7.9
567,round,9,1,-2.618627,-3.006879,0.388252,0.999664,2.671029,15,15,0.509,2643,0.5365,0.6381,0.5897,0.4534,1,25,8.3
588,round,9,2,-2.673953,-3.055159,0.381206,0.963415,2.67905,15,15,0.5305,2643,0.5403,0.6227,0.5506,0.4079,1,25,8.4
609,round,10,1,-2.575468,-3.031438,0.45597,0.978896,2.673556,15,15,0.5268,2643,0.5664,0.6289,0.5808,0.4657,1,24,9.1
630,round,10,2,-2.631117,-3.048296,0.417179,0.976387,2.683122,15,15,0.5276,2643,0.5759,0.6349,0.5662,0.4862,1,24,9.2
651,round,11,1,-2.666331,-3.055377,0.389046,0.951379,2.671171,15,15,0.5371,2643,0.5388,0.643,0.5872,0.472,1,25,9.7
672,round,11,2,-2.69041,-3.07542,0.38501,0.935212,2.673755,15,15,0.5513,2643,0.5388,0.6292,0.5598,0.4409,1,25,9.9
693,round,12,1,-2.714543,-3.108025,0.393481,0.887755,2.663853,15,15,0.5457,2643,0.5713,0.6242,0.5223,0.4309,1,28,11.0
714,round,12,2,-2.748595,-3.132655,0.38406,0.859917,2.661715,15,15,0.5701,2643,0.5649,0.6292,0.5427,0.4331,1,28,11.2
735,round,13,1,-2.671259,-3.110439,0.439179,0.86696,2.651599,15,15,0.5656,2643,0.5452,0.6382,0.5693,0.4409,1,27,11.7
756,round,13,2,-2.703518,-3.115364,0.411846,0.874147,2.659674,15,15,0.5632,2643,0.5426,0.6361,0.5832,0.466,1,27,11.9
777,round,14,1,-2.72238,-3.111923,0.389543,0.873187,2.65674,15,15,0.5752,2643,0.5921,0.6412,0.583,0.4474,1,28,12.3
798,round,14,2,-2.810219,-3.147604,0.337384,0.831098,2.652468,15,15,0.5991,2643,0.588,0.6186,0.5583,0.4452,1,28,12.6
819,round,15,1,-2.70783,-3.134434,0.426603,0.847999,2.654955,15,15,0.5632,2643,0.5528,0.626,0.5569,0.4502,1,25,12.9
840,round,15,2,-2.730125,-3.133495,0.40337,0.851203,2.656465,15,15,0.5701,2643,0.5588,0.6205,0.5317,0.4269,1,25,13.1
861,round,16,1,-2.752047,-3.123254,0.371208,0.866949,2.660135,15,15,0.5735,2643,0.5463,0.6231,0.54,0.4303,1,25,13.7
882,round,16,2,-2.741339,-3.132448,0.391109,0.853783,2.657488,15,15,0.5677,2643,0.5463,0.6214,0.6001,0.5004,1,25,13.8
903,round,17,1,-2.733976,-3.127702,0.393726,0.866813,2.66301,15,15,0.5681,2643,0.5433,0.6235,0.5384,0.4291,1,24,14.3
924,round,17,2,-2.752999,-3.126031,0.373032,0.860608,2.657759,15,15,0.5656,2643,0.5437,0.6081,0.5448,0.4447,1,24,14.4
945,round,18,1,-2.796676,-3.154229,0.357553,0.833939,2.658779,15,15,0.5877,2643,0.5327,0.6032,0.5284,0.4118,1,23,14.8
966,round,18,2,-2.766531,-3.156848,0.390318,0.81757,2.649612,15,15,0.5941,2643,0.5282,0.6117,0.5456,0.4376,1,23,14.9
987,round,19,1,-2.829253,-3.175284,0.346031,0.782921,2.638803,14,15,0.6088,2643,0.549,0.6321,0.5699,0.4534,1,26,15.3
1008,round,19,2,-2.852381,-3.173841,0.32146,0.776462,2.633535,15,15,0.6071,2643,0.5358,0.6321,0.5679,0.4534,1,26,15.5
1029,round,20,1,-2.797624,-3.16844,0.370816,0.774138,2.628385,15,15,0.6039,2643,0.5308,0.6218,0.5336,0.4253,1,24,15.9
1050,round,20,2,-2.811679,-3.14812,0.33644,0.791733,2.626568,15,15,0.6194,2643,0.5335,0.6238,0.5431,0.4334,1,24,16.0
