step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.957825,-1.957825,0.003934,3.906391,3.909478,21,50,0.0371,813,0.403,0.1856,0.0806,,85,1.1
14,pretrain,0,2,-2.194338,-2.194338,0.56428,3.443585,3.758616,16,49,0.2502,813,0.4654,0.2025,0.1201,,85,1.2
21,pretrain,0,3,-3.052878,-3.052878,2.062058,2.395183,3.632041,32,45,0.4424,813,0.5303,0.2906,0.2118,,85,1.2
28,pretrain,0,4,-3.818687,-3.818687,3.980809,1.54112,3.573204,38,41,0.592,813,0.5811,0.3337,0.2634,,85,1.3
35,pretrain,0,5,-4.207666,-4.207666,6.279687,1.046906,3.503048,38,42,0.7125,813,0.6027,0.3575,0.2721,,85,1.3
42,pretrain,0,6,-4.490862,-4.490862,7.740179,0.732958,3.482546,39,39,0.7907,813,0.6207,0.395,0.3041,,85,1.4
49,pretrain,0,7,-4.665511,-4.665511,8.413301,0.510869,3.45092,41,39,0.8364,813,0.63,0.4106,0.3131,,85,1.4
56,pretrain,0,8,-4.892426,-4.892426,9.619946,0.372314,3.509827,41,38,0.8725,813,0.6354,0.4394,0.3219,,85,1.5
63,pretrain,0,9,-4.935924,-4.935924,10.451937,0.274488,3.473608,40,39,0.8957,813,0.6357,0.4138,0.303,,85,1.6
70,pretrain,0,10,-4.926209,-4.926209,10.38388,0.22451,3.433813,39,36,0.9128,813,0.6392,0.4425,0.3217,,85,1.6
77,round,1,1,-4.902508,-4.902508,10.717987,0.173044,3.383701,38,37,0.9298,813,0.6434,0.44,0.3351,,85,1.7
84,round,1,2,-5.014543,-5.014543,11.003093,0.145905,3.440299,39,39,0.9485,813,0.6483,0.4544,0.3437,,85,1.8
91,round,2,1,-5.107989,-5.107989,12.098096,0.130567,3.492371,40,37,0.9474,813,0.6479,0.4612,0.3444,,85,1.8
98,round,2,2,-5.141318,-5.141318,12.47075,0.136312,3.51842,40,39,0.9543,813,0.6576,0.4506,0.3445,,85,1.9
105,round,3,1,-5.158746,-5.158746,12.476076,0.111559,3.513536,40,40,0.9551,813,0.6519,0.46,0.3535,,85,2.0
112,round,3,2,-5.125633,-5.125633,12.504466,0.108291,3.489282,40,40,0.958,813,0.6569,0.4556,0.3394,,85,2.0
119,round,4,1,-5.137336,-5.137336,12.546952,0.105281,3.495078,40,39,0.963,813,0.6614,0.4713,0.3674,,85,2.1
126,round,4,2,-5.162774,-5.162774,12.352102,0.094405,3.504786,39,39,0.9656,813,0.6693,0.4856,0.376,,85,2.2
133,round,5,1,-5.154039,-5.154039,12.777629,0.082388,3.490951,40,40,0.9707,813,0.664,0.4788,0.3588,,85,2.2
140,round,5,2,-5.237142,-5.237142,12.526801,0.076704,3.542564,40,40,0.9689,813,0.6577,0.4656,0.3324,,85,2.3
147,round,6,1,-5.180215,-5.180215,13.456701,0.084554,3.509846,40,40,0.9722,813,0.6649,0.4856,0.3585,,85,2.4
154,round,6,2,-5.229899,-5.229899,13.228958,0.066013,3.530608,40,39,0.9747,813,0.6625,0.4944,0.3605,,85,2.4
161,round,7,1,-5.2228,-5.2228,13.450047,0.068051,3.527234,40,39,0.9761,813,0.663,0.4838,0.358,,85,2.5
168,round,7,2,-5.215705,-5.215705,13.100241,0.051656,3.511574,40,39,0.9789,813,0.6721,0.5044,0.3894,,85,2.6
175,round,8,1,-5.209313,-5.209313,13.185871,0.065567,3.516587,40,40,0.9755,813,0.6708,0.4981,0.3767,,85,2.7
182,round,8,2,-5.25492,-5.25492,13.963224,0.066865,3.547856,40,40,0.97,813,0.66,0.4806,0.3479,,85,2.7
189,round,9,1,-5.238829,-5.238829,14.060727,0.065532,3.536241,40,40,0.9769,813,0.6702,0.5112,0.3741,,85,2.8
196,round,9,2,-5.283898,-5.283898,13.685018,0.059168,3.562044,40,40,0.9785,813,0.6776,0.5106,0.3935,,85,2.9
203,round,10,1,-5.219487,-5.219487,13.348533,0.055317,3.516536,40,40,0.9818,813,0.6757,0.4994,0.3825,,85,2.9
210,round,10,2,-5.226865,-5.226865,13.304751,0.046844,3.515806,40,40,0.9788,813,0.68,0.5281,0.3853,,85,3.0
217,round,11,1,-5.248964,-5.248964,12.948334,0.05305,3.534675,40,40,0.9825,813,0.6879,0.5244,0.395,,85,3.1
224,round,11,2,-5.278277,-5.278277,13.326424,0.050563,3.55256,40,40,0.9878,813,0.6917,0.5275,0.4068,,85,3.1
231,round,12,1,-5.269213,-5.269213,13.047761,0.034614,3.535885,40,40,0.9874,813,0.6941,0.5356,0.4161,,85,3.2
238,round,12,2,-5.282972,-5.282972,13.043092,0.042727,3.550466,40,40,0.9813,813,0.6901,0.5281,0.4074,,85,3.3
245,round,13,1,-5.242974,-5.242974,13.035502,0.044937,3.525274,39,39,0.9844,813,0.6821,0.5244,0.385,,85,3.3
252,round,13,2,-5.24805,-5.24805,13.053161,0.040486,3.525691,39,39,0.9864,813,0.6901,0.5244,0.3986,,85,3.4
259,round,14,1,-5.247209,-5.247209,13.198255,0.035699,3.521938,39,39,0.9854,813,0.6875,0.5225,0.4038,,85,3.5
266,round,14,2,-5.177085,-5.177085,12.941287,0.040629,3.478476,39,39,0.9839,813,0.6841,0.525,0.3994,,85,3.6
273,round,15,1,-5.217413,-5.217413,12.929962,0.04223,3.506429,39,39,0.986,813,0.6725,0.5238,0.3834,,85,3.6
280,round,15,2,-5.254229,-5.254229,13.901198,0.032437,3.524444,39,39,0.9872,813,0.6811,0.5262,0.3986,,85,3.7
287,round,16,1,-5.247906,-5.247906,13.030839,0.027046,3.516634,39,39,0.9915,813,0.6837,0.5175,0.395,,85,3.8
294,round,16,2,-5.262798,-5.262798,13.614969,0.027211,3.526673,39,39,0.9889,813,0.6837,0.5225,0.397,,85,3.8
301,round,17,1,-5.218427,-5.218427,13.291687,0.039107,3.505023,39,39,0.9883,813,0.6782,0.5188,0.3881,,85,3.9
308,round,17,2,-5.211879,-5.211879,13.27438,0.03367,3.497033,40,38,0.9828,813,0.679,0.5175,0.3961,,85,4.0
315,round,18,1,-5.243126,-5.243126,13.68009,0.036646,3.519849,40,40,0.9862,813,0.677,0.5138,0.3847,,85,4.0
322,round,18,2,-5.285348,-5.285348,13.940145,0.031389,3.544492,39,39,0.9872,813,0.6788,0.5025,0.3807,,85,4.1
329,round,19,1,-5.233295,-5.233295,13.591614,0.040157,3.515635,40,39,0.9852,813,0.6777,0.5219,0.3912,,85,4.2
336,round,19,2,-5.205725,-5.205725,13.169607,0.039333,3.496705,40,40,0.9856,813,0.6708,0.5038,0.3695,,85,4.3
343,round,20,1,-5.156749,-5.156749,13.774879,0.040857,3.46507,40,40,0.9864,813,0.6707,0.4956,0.3728,,85,4.4
350,round,20,2,-5.206328,-5.206328,13.60078,0.029881,3.490806,40,40,0.9893,813,0.68,0.51,0.382,,85,4.5
