step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.352844,-1.35347,0.000626,2.706249,2.706479,15,15,0.0677,2561,0.6103,0.3119,0.3228,0.1782,,64,1.4
42,pretrain,0,2,-1.354025,-1.354103,7.8e-05,2.707964,2.708044,15,15,0.0688,2561,0.6209,0.3989,0.3386,0.1742,,64,1.5
63,pretrain,0,3,-1.355529,-1.364085,0.008556,2.696956,2.707361,15,15,0.1124,2561,0.613,0.4962,0.423,0.2851,,64,1.6
84,pretrain,0,4,-1.43007,-1.673152,0.243082,2.369657,2.695206,10,15,0.2068,2561,0.6056,0.4847,0.4249,0.3016,,64,1.7
105,pretrain,0,5,-1.632653,-2.0029,0.370248,2.030237,2.688758,14,15,0.2288,2561,0.6087,0.5478,0.4816,0.3906,,64,1.9
126,pretrain,0,6,-1.744122,-2.118557,0.374435,1.918684,2.691494,15,15,0.2664,2561,0.6193,0.5928,0.5332,0.4339,,64,2.0
147,pretrain,0,7,-1.855899,-2.257651,0.401752,1.782325,2.693317,14,15,0.2871,2561,0.6072,0.6205,0.5701,0.4859,,64,2.1
168,pretrain,0,8,-1.944547,-2.376748,0.432201,1.656459,2.688804,13,15,0.3117,2561,0.6201,0.6206,0.5342,0.4449,,64,2.3
189,pretrain,0,9,-2.051143,-2.468782,0.417639,1.57013,2.692608,14,15,0.4062,2561,0.6275,0.6558,0.5656,0.5045,,64,2.4
210,pretrain,0,10,-2.20158,-2.704576,0.502997,1.312667,2.678162,15,15,0.4571,2561,0.6142,0.6631,0.6005,0.4843,,64,2.5
231,round,1,1,-2.315938,-2.747663,0.431725,1.252342,2.66667,15,15,0.4397,2561,0.6107,0.651,0.5581,0.4405,1,47,22.1
252,round,1,2,-2.400292,-2.82917,0.428878,1.170265,2.66629,15,15,0.4821,2561,0.6259,0.6646,0.604,0.499,1,47,22.2
273,round,2,1,-2.403312,-2.860103,0.456791,1.137198,2.664868,15,15,0.4674,2561,0.6205,0.6743,0.6306,0.54,1,48,82.8
294,round,2,2,-2.483059,-2.903587,0.420528,1.092091,2.663785,15,15,0.4836,2561,0.6173,0.6807,0.6281,0.5297,1,48,82.9
315,round,3,1,-2.503014,-2.890667,0.387652,1.11115,2.667878,15,15,0.4775,2561,0.6072,0.6491,0.6072,0.477,,64,83.0
336,round,3,2,-2.555672,-2.921638,0.365965,1.072937,2.66305,15,15,0.4815,2561,0.6173,0.6843,0.6593,0.5651,,64,83.2
357,round,4,1,-2.550911,-2.951741,0.400831,1.04869,2.666954,15,15,0.4883,2561,0.6232,0.6939,0.6269,0.5753,1,46,90.0
378,round,4,2,-2.594609,-2.948061,0.353452,1.049871,2.665288,15,15,0.4944,2561,0.6224,0.668,0.5907,0.5246,1,46,90.2
399,round,5,1,-2.618124,-2.973089,0.354966,1.028545,2.667756,15,15,0.5292,2561,0.6216,0.697,0.6356,0.5729,1,47,100.1
420,round,5,2,-2.611529,-3.011765,0.400236,0.989119,2.667256,15,15,0.5426,2561,0.6127,0.6905,0.6508,0.578,1,47,100.2
441,round,6,1,-2.639541,-3.035306,0.395764,0.95259,2.658597,15,15,0.5563,2561,0.6169,0.6801,0.6331,0.5681,1,46,107.7
462,round,6,2,-2.690171,-3.07385,0.383679,0.91363,2.65832,15,15,0.5702,2561,0.6255,0.6626,0.5581,0.4793,1,46,107.8
483,round,7,1,-2.693144,-3.115429,0.422285,0.868702,2.656087,15,15,0.5731,2561,0.6255,0.6695,0.5689,0.4866,1,47,118.8
